;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
168;SAN BERNARDO;2029.0;0.0;3550.0;3016.6000000000004;13337.0;2719.0;0.0;0;7543.200000000001;11753.0;5435.0;10058.4;5167.0;2034.0;0.0;1776.0;5706.6;23475.0;9408.400000000001;0.0;29455.0;14463.0;13261.4;21735;35583
169;PURRANQUE;0.0;0.0;0.0;0.0;1038.2;98.0;0.0;373;0.0;256.0;3516.0;672.8;0.0;98.0;0.0;57.0;339.20000000000005;1344.0;654.8;0.0;3304.4;1401.2;1449.0;1839;1931
170;LOS LAGOS;0.0;487.0;0.0;131.2;266.6;45.0;0.0;0;0.0;3283.8;1020.6;350.0;0.0;0.0;0.0;841.8;67.80000000000001;2805.0;0.0;0.0;2014.8;2911.2;4606.4;1549;1509
171;PUNTA ARENAS;0.0;0.0;0.0;4084.0;8700.0;0.0;0.0;0;0.0;6807.0;5156.0;949.0;0.0;0.0;0.0;4590.4;8092.6;9537.0;3686.8;0.0;10717.8;9405.2;5530.6;11637;15865
172;CAMARONES;12.200000000000001;0.0;155.4;0.0;29.200000000000003;83.60000000000001;48.26666666666667;0;0.0;46.800000000000004;222.8;22.6;59.26666666666667;85.60000000000001;49.26666666666667;151.60000000000002;162.4;36.6;85.80000000000001;0.0;54.4;93.0;245.60000000000002;132;104
173;PICA;0.0;0.0;112.0;23.200000000000003;167.0;21.8;0.0;0;0.0;54.0;739.2;676.8;0.0;2.8000000000000003;0.0;200.0;76.0;122.0;48.0;0.0;340.0;1268.4;429.4;242;262
174;PUMANQUE;0.0;0.0;65.6;333.2;48.0;18.400000000000002;0.0;0;0.0;106.0;493.0;434.0;0.0;18.400000000000002;0.0;0.0;497.40000000000003;227.8;54.0;0.0;796.2;380.20000000000005;421.0;423;234
175;LLANQUIHUE;0.0;576.0;0.0;159.2;2688.4;319.2;0.0;188;0.0;374.0;954.0;436.8;0.0;293.2;0.0;400.0;1479.2;2217.8;823.8000000000001;0.0;1661.0;423.6;1209.4;1899;2005
176;TALCAHUANO;0.0;2613.0;3306.4;2256.0;8100.6;8630.0;3914.0;0;0.0;3755.0;3344.4;5809.200000000001;0.0;3948.0;0.0;1358.2;5590.400000000001;6181.6;10218.0;0.0;16409.0;4809.2;9196.8;11077;20114
177;ESTACION CENTRAL;371.0;0.0;764.0;1084.4;8660.2;2012.8000000000002;553.3333333333334;0;3396.0;9262.2;4663.6;1334.0;553.3333333333334;1452.8000000000002;553.3333333333334;1880.0;2413.2;4443.0;0.0;0.0;11669.0;7507.6;8326.2;9938;17305
178;QUEILEN;0.0;0.0;0.0;0.0;71.0;369.8;0.0;0;0.0;170.0;678.0;0.0;0.0;20.8;0.0;94.0;429.40000000000003;425.8;62.0;0.0;473.6;948.0;2220.0;704;227
179;SANTA JUANA;0.0;32.0;299.4;104.8;254.4;2123.8;0.0;0;0.0;226.0;652.0;250.0;0.0;30.8;0.0;414.4;278.4;481.0;2784.0;0.0;813.0;1346.2;2020.4;1544;1228
180;SAN PEDRO;0.0;0.0;257.0;92.0;264.0;542.6;0.0;1615;248.0;223.8;71.2;0.0;0.0;337.6;0.0;1285.2;440.40000000000003;562.0;0.0;0.0;727.0;711.8;1858.4;846;653
181;LAGO RANCO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;250.0;1074.0;0.0;0.0;0.0;0.0;664.0;0.0;2490.4;0.0;0.0;1119.2;2282.0;1867.0;672;727
182;TEODORO SCHMIDT;0.0;537.0;487.8;557.0;220.8;880.6;0.0;0;0.0;298.0;568.6;148.0;0.0;15.600000000000001;0.0;1107.0;1564.0;119.0;63.2;0.0;1754.0;2361.2;2479.8;1406;965
183;HUALAÑE;0.0;23.200000000000003;292.2;53.2;289.0;83.2;0.0;0;0.0;50.400000000000006;528.0;0.0;0.0;15.200000000000001;0.0;1173.0;2423.2;942.2;80.6;0.0;288.4;1576.4;1183.0;906;650
184;VALLENAR;0.0;0.0;0.0;0.0;188.0;6136.2;0.0;0;0.0;2049.8;630.0;1166.0;0.0;527.2;278.0;1151.2;1753.8000000000002;7108.4;0.0;0.0;2665.2;4195.8;1475.0;2946;5096
185;CHIMBARONGO;0.0;0.0;345.6;383.4;2746.0;915.4;0.0;0;0.0;699.0;1549.0;400.0;0.0;158.4;0.0;233.0;3414.2000000000003;2386.6;328.0;0.0;3133.8;8724.8;4562.8;2363;3292
186;PERALILLO;0.0;0.0;157.2;704.0;119.0;425.8;0.0;0;0.0;348.0;804.0;165.0;0.0;40.800000000000004;0.0;312.0;1034.4;1753.8;94.0;0.0;1994.4;1138.4;1194.2;1008;745
187;FRUTILLAR;0.0;546.0;0.0;589.0;851.8;93.2;0.0;365;0.0;400.0;3283.0;214.4;0.0;292.2;0.0;449.0;871.0;1271.4;0.0;0.0;2572.8;2259.2;2728.0;1912;1703
188;EL BOSQUE;1515.0;0.0;2856.6000000000004;1317.6000000000001;4389.2;2565.6;459.73333333333335;0;4003.8;6885.2;3074.0;2225.0;459.73333333333335;359.6;459.73333333333335;1929.0;2294.0;13814.0;3186.2000000000003;0.0;15560.0;9554.6;4285.4;11910;18756
189;TRAIGUEN;0.0;0.0;143.0;1282.8000000000002;810.8;0.0;0.0;0;0.0;0.0;608.2;0.0;0.0;689.0;0.0;3053.2;942.8;292.0;1325.6000000000001;0.0;1535.2;2233.0;260.6;1486;1656
190;NAVIDAD;0.0;201.0;278.0;179.0;1962.0;935.2;0.0;938;114.4;1036.0;421.6;85.60000000000001;0.0;51.2;0.0;318.0;472.0;469.0;0.0;0.0;0.0;784.0;1131.0;580;574
191;SAN ESTEBAN;0.0;76.0;198.0;0.0;541.8;811.6;0.0;0;0.0;1062.0;796.8;0.0;0.0;811.6;185.0;646.4000000000001;0.0;1200.0;294.0;0.0;1142.0;2105.0;1559.0;1182;1467
192;SANTA CRUZ;0.0;202.0;1546.4;464.0;493.0;1837.8;0.0;0;727.2;3336.0;2410.0;471.0;0.0;160.8;0.0;0.0;633.2;2585.0;293.0;0.0;4083.6;5106.8;6633.8;3298;3087
193;CHILE CHICO;0.0;0.0;205.0;0.0;0.0;146.0;0.0;0;0.0;321.0;857.8;0.0;0.0;0.0;0.0;215.60000000000002;494.0;461.0;0.0;0.0;316.0;476.6;629.0;245;205
194;LOTA;0.0;229.8;2529.2;1136.8;1304.0;336.4;0.0;0;0.0;4128.0;2551.0;2360.2;0.0;822.4;0.0;1516.0;3009.2;3560.0;3102.6000000000004;0.0;3277.6000000000004;5536.2;1409.8;3269;5081
195;LO ESPEJO;1149.0;0.0;1801.0;1992.0;10314.4;4601.6;265.6;0;2650.4;16543.0;2584.0;0.0;265.6;519.6;265.6;2304.0;3229.8;4433.8;3043.8;0.0;3527.8;5410.4;3182.4;7925;11763
196;PUERTO OCTAY;0.0;0.0;0.0;0.0;169.4;68.4;0.0;82;0.0;117.0;446.0;632.8;0.0;68.4;0.0;640.0;960.6;1213.0;340.4;0.0;858.8;698.0;1254.0;835;800
197;QUILLOTA;0.0;917.6;245.0;0.0;1104.0;1754.8;144.26666666666668;1233;0.0;4769.0;3225.0;2360.0;144.26666666666668;468.8;1447.2666666666667;3140.8;4548.8;2181.0;3255.2000000000003;0.0;7848.0;6384.2;3501.0;7507;8403
198;PROVIDENCIA;536.0;0.0;994.0;10569.8;43853.0;982.0;0.0;0;4525.0;9147.0;4512.0;1713.0;0.0;1517.0;0.0;6275.4;0.0;5743.0;2515.2000000000003;0.0;16557.2;13477.4;27608.0;7297;9407
199;SAN RAFAEL;70.6;42.8;905.8000000000001;200.2;200.0;537.0;0.0;0;0.0;168.6;2100.6;153.4;0.0;0.0;0.0;447.8;670.6;84.8;942.4000000000001;0.0;729.8;1231.0;677.6;841;894
200;PUYEHUE;0.0;0.0;0.0;0.0;668.0;74.8;0.0;1046;0.0;740.0;1696.0;548.6;0.0;74.8;0.0;201.0;0.0;1778.0;223.60000000000002;0.0;876.2;1450.0;1538.2;1261;1110
