Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI
OVALLE;0;931.2;2169.6;487.6;1344.8;1635;0;0;0;8544;5891.4;2749.4;0;1292;0;1737.8;2254.2;4276.6;4022.6;0;7263.6;8252;7816.2
COPIAPO;0;3186.8;1323.4;0;5218.4;8369.8;2690;0;0;7250.2;1212;2017;968;1194.8;1478;4056;5093.2;5848.8;4630;0;10610;8966.6;4573.2
PENCAHUE;43.6;65.6;108.2;571;133;289;0;0;0;71.8;1061.6;256.4;0;0;0;949.6;1579.8;164.2;123.4;0;1784.8;1340.8;1753.6
VICTORIA;0;226;1279;3175.8;1360.8;0;0;0;0;59;953;0;0;1478;0;1786.6;1724.8;1284;1813.8;0;3007.6;3009.4;5025.8
EL MONTE;0;0;176;324.6;824.4;0;0;0;1314.4;2181.8;1409;448;0;219;0;676;2119.2;1915.2;365;0;2174.6;2036.4;4545.2
PICHIDEGUA;0;135;467;0;4234.6;598.2;0;0;0;397.8;2411.2;416;0;13.2;0;721.8;1770;1126;0;0;3129.4;1216.6;2520.2
SAN JOSE DE MAIPO;226;0;287.8;84;1994.4;231.8;37.06666667;0;503;1843.8;369;208;283.0666667;217.8;37.06666667;588;1153.6;1035;190;0;1682.4;1337.4;1105
LA ESTRELLA;0;0;0;167;196;24;0;413;0;116;206.6;36.8;0;24;0;123;653.6;41;0;0;90;536.8;1585
VALLENAR;0;0;0;0;174.4;6896;0;0;0;2045.4;622;1154;0;610;270;1280.8;1799.6;7649.6;0;0;2942;4163.8;1368
FREIRINA;0;0;282.4;0;114;365.8;0;0;0;487.2;757;0;0;100.8;52;27.2;73.6;660;0;0;136;597.4;787.4
TEMUCO;0;9174.8;4993;3946.4;18197;7405.6;0;6057;0;3839.4;7993.2;9132.8;0;3719.6;0;10890.2;7629.6;15301;12145.6;0;32882.6;29658.4;9875.2
LO PRADO;588;0;1757;350;5029;3481;122.9333333;0;2095.4;7919;2368.2;4005.4;1707.933333;296;122.9333333;12064;3577.4;3646.6;2490.6;0;4975;7146.4;2510.6
PANQUEHUE;0;0;0;0;387.2;68;18.93333333;158;0;118;209.6;0;18.93333333;68;18.93333333;819;424.8;502;93;0;687.8;822.2;786
PUNITAQUI;0;232;1076.4;232;409.4;247;0;0;0;576.4;691;435.6;0;96;0;409.2;220.4;469;247;0;469.6;627.2;759
MACHALI;0;0;2494.6;458;2318.2;864.6;0;1102;0;3253.8;3237;3094.8;0;71.6;0;3326.6;2171.8;1834;705;0;6766;3556.4;2722.8
CARTAGENA;0;0;184;0;1723.8;27.2;71.73333333;0;0;965.8;1202;437;71.73333333;184.2;191.7333333;953.4;1860;512.2;568.4;0;1603;2239.6;1599.4
MULCHEN;0;69.6;2031.6;315;1136.8;0;179.8666667;0;0;764;3527.4;1421;25.86666667;0;25.86666667;921.4;2106;439.4;378.4;0;4561.6;2631.2;1505.8
TORTEL;0;0;0;0;0;0;0;0;0;18;48;0;0;0;0;22;0;97.8;0;0;0;270;166.8
GUAITECAS;0;0;110;75;0;0;0;0;0;30.6;10;0;0;0;0;233.6;109.4;11.4;0;0;113.2;424.2;119.2
PAINE;138;0;0;821.6;3397;3736;0;0;1758.4;3244;2984;898;541;206;0;229;737;4066;1424.4;0;16217.2;2653.2;12707.8
LO BARNECHEA;3190;0;395;10271.4;1400;399;0;0;1682;930;786;0;0;512;0;870.6;0;1116;1230.4;0;20508.8;16163;15165
LOS ANGELES;0;872.6;14103.4;1628.8;4078.2;590;4482.866667;0;0;4450;12612.4;8998.8;173.8666667;2612;173.8666667;3737.4;12462.6;4163.8;7350.6;0;26022.2;16032;19411.8
TOLTEN;0;0;113.6;96;104.6;37;0;0;0;64;403.4;106;0;8;0;56.8;1860.2;212;52;0;1850.8;1413.2;2124.6
PALENA;0;3.2;0;202.6;272.4;0;0;0;0;0;113;0;0;0;0;0;0;448;0;0;116.4;512.8;17
SAN JAVIER;0;914;282.4;0;2288;1391;0;0;581.6;2388.8;1592;576;0;0;0;2529.6;1256;1915.4;1541.6;0;4080;7075;12411.2
CHANCO;0;0;0;0;0;64;0;640;0;128;1176;0;0;0;0;626.2;2389.8;150.6;110;0;792;1947.4;786
CERRILLOS;235;0;0;293;4500.8;763.6;290.9333333;0;3106.2;3138;2115.2;3542;290.9333333;1273.6;290.9333333;1233.4;3023.8;1130;485.6;0;7406.4;6113.2;2441.6
PIRQUE;223;0;287.2;359;1110.2;130;48.8;0;862.4;2894.4;464;315;423.8;881;48.8;1205;2499.8;1192;454.4;0;3585;3359;1129
CHIMBARONGO;0;0;345.2;400.2;2884;941.6;0;0;0;723;1538;390;0;157.6;0;228;3647.2;2331;303;0;3038.6;8730;4648.4
MALLOA;0;0;387;0;154.2;78.2;0;0;0;487;625.6;283;0;13.2;0;2116.2;102.6;641.8;0;0;1109;3237;4229.2
PAPUDO;0;0;504.6;0;694.2;92;0;0;0;232;564.2;0;0;92;0;424;0;86;0;0;672.2;1813;499.2
CATEMU;0;0;0;0;1622.8;270.8;30.4;0;0;390.4;192.4;0;30.4;270.8;30.4;1735;286.4;371.4;140;0;750;2899;155
REQUINOA;0;0;890;0;357.4;623.4;0;209;0;817.6;989;724;0;28.4;0;1989.6;1452.4;2020;0;0;3123;4446.2;5245.2
YERBAS BUENAS;0;0;475.2;222;327;100;0;0;0;607.6;1693;166;0;0;0;2028.6;710.4;965;400;0;1695.6;2192.4;5031.8
QUEILEN;0;0;0;0;77;383.2;0;0;0;172;708;0;0;23.2;0;109;468.4;430.6;61;0;510;1041;1172
CALLE LARGA;0;0;151;0;760.8;663;0;199;0;471;478.6;103;0;397;289;133.6;0;1891.2;204;0;821.6;2453.2;483.6
FUTRONO;0;0;0;293;179;0;0;459;0;0;592;232;0;0;0;3118;1036.2;1239.8;0;0;1105.8;1831.8;3462
LOS LAGOS;0;523;0;131.8;278.8;49;0;0;0;3113.8;1037.2;388;0;0;0;897.8;69.4;2178;0;0;1998.8;3011.4;4708.8
PERALILLO;0;0;152.6;723.6;120;418;0;0;0;329;793;155;0;38;0;318;1090.4;1644.8;98;0;2027.8;1177.4;1212.8
SAAVEDRA;0;958;166.2;75.2;1773.4;276.4;0;159;0;530;290.6;131;0;16.4;0;585.8;1220;483;431.2;0;171;1631.2;2278.2
PETORCA;0;0;123;0;222.2;744.6;0;0;0;713;709;0;0;489.6;0;619;460;463;0;0;708.4;1122.6;48
SAN PEDRO DE ATACAMA;234.8;0;307.4;65.8;0;523.8;0;0;0;101;1638.2;291.8;0;404.8;0;21;530.2;202.2;73;0;244.8;487;64.4
TALCA;1786;2716.4;4382.2;13372;6579;4622;0;0;1891.6;13216;7717.6;5828.2;0;0;0;2391;7912;7387.6;5986.2;0;19612.2;31596.4;10655
LEBU;0;109.6;1372.8;0;1427.8;268;0;0;0;1241;1840;298;0;0;0;0;2062.4;979.6;636.4;0;3549.6;2714.8;3217.8
GALVARINO;0;0;1355.2;91.4;1933;255.6;0;0;0;116;419.4;177;0;259.6;0;538.8;34;716;383;0;1390.2;2970.6;484.6
CHIGUAYANTE;0;598;5217.4;464;2472.8;3460.4;1049.533333;1030;0;3838.4;2624;2964;68.53333333;960.4;68.53333333;1158;2127.8;6632;7242.6;0;9173;3416.2;4372.6
MARIQUINA;0;0;0;162.8;295.4;65;0;0;0;293.8;2324;177;0;0;0;3429.6;1098.2;3450;0;0;1350.2;3706.8;2298
RANCAGUA;0;1603;0;844;11027.8;6783.8;0;0;9204.6;11687;6298;4252.2;0;2026.8;0;9722.6;6182.2;10966;6738.2;0;34226.4;14594;12657
PEUMO;0;916;248;0;1061.8;50.6;0;0;0;129.6;326.8;281;0;11.6;0;1089.8;2146.2;644.2;0;0;967.8;3379.2;1229
CHAÑARAL;0;108.8;381.2;0;302;703;26.93333333;0;0;1545.2;105.4;445;26.93333333;362;26.93333333;216.8;514.2;456.8;0;0;381;1339.6;498.2
LOS SAUCES;0;0;327;376.4;102.2;0;0;0;0;0;529.8;509;0;0;0;285.6;512.8;48;152.8;0;480.2;1169.2;1739.6
OLMUE;0;139;0;435.8;676.4;111.2;265.0666667;0;0;553.8;1069;0;265.0666667;111.2;265.0666667;296.2;1295.4;664;190.4;0;2696.2;1941.4;933.8
LAJA;0;38.4;947.8;127.2;240.6;372;202.9333333;501;0;158;653.8;207;18.93333333;0;18.93333333;129.8;3400.4;2838.4;316.8;0;2069.6;4348.4;2439.6
CAÑETE;0;49.6;488.2;0;1003.6;195;0;0;0;1532;1206;298;0;0;0;0;1635.2;2281;1017.2;0;2732.4;6356.6;7808.2
LOS ALAMOS;0;96.4;3884.4;0;546.2;134;0;0;0;1207;794;194;0;0;0;125;595.2;1738.6;1076.4;0;2758.8;3502;1771
HUALAÑE;0;23.2;287;55;283.2;79.6;0;0;0;50.4;532;0;0;15.6;0;1163;2610.2;979.4;81.6;0;314.8;1827;1354
NEGRETE;0;20.8;569.8;52.8;125.6;0;186;304;0;72;1517.6;126;8;0;8;39.4;1216.4;1092.8;169.6;0;808;944.6;1949
TALAGANTE;0;0;0;2456.8;6393.6;0;0;0;2154.8;3451.2;1832;890;0;974;0;167;2642.6;13382;1690.4;0;10832.2;1260;8232.6
ALTO BIOBIO;0;181.6;127.2;162.4;188.8;217;74.66666667;0;0;95;181.8;311.8;6.666666667;126;6.666666667;239.4;601;165.8;648.6;0;390.2;461.6;293.4
NINHUE;0;52;0;52;0;219.6;0;0;0;0;1179;62;0;260.6;0;115.2;800.8;361.2;141.2;0;359.6;865.2;1384.6
LA UNION;0;0;0;1051;2324;0;0;0;0;0;2472;0;0;0;0;5537;1965.6;3709.4;0;0;5824.2;4567;2863.8
LAUTARO;0;1482;3199.2;473.6;1052.8;151;0;0;0;506;1823.6;1858;0;858;0;1913.8;1855.4;1033;1605.8;0;3395.6;5195.8;2942.2
HUARA;0;0;49.6;36.8;78.4;86.2;0;0;0;243;95.2;0;0;49.2;0;40;122.4;79;28;0;318.2;697;576.2
ANDACOLLO;96.2;80.2;1248;56.2;184.8;47.6;0;178;0;1016.6;715.6;209.4;0;23.6;0;54.8;26;1048;538.6;0;465;713.8;1034.6
FRESIA;0;73;0;77.4;559;422;0;0;0;86;1502;90.8;0;56;0;65;649.6;1130.2;0;0;1685.2;3439.6;1005.2
SANTO DOMINGO;0;0;0;608;577;0;22.13333333;0;0;114;2267.8;127;22.13333333;0;60.13333333;0;1647;165.8;249;0;1848.6;1788.4;970.2
PINTO;0;156.8;139;44;145;47.4;0;78;118.4;284.6;831.4;200;0;49.4;0;158.6;502.2;344;943.4;0;2263.2;1166.4;6003
ÑUÑOA;2364;0;2901;7678.6;65622;2546;0;2939;7539.2;24262;4971;0;0;1558;0;3881.2;2454.8;10945;2840.8;0;20949;25203.8;17191
CHEPICA;0;0;242.6;254.4;126;226;0;0;0;492;382;406;0;66;0;95;1262.4;2493;345;0;1966.4;1133.8;4033.6
