Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI
COLINA;0;0;996.8;3519.8;4028.2;608.4;414.4;0;1041;2867;4318;2190.6;414.4;1669.4;414.4;3845.6;1650.4;3654;0;0;14795.4;14704;9985.6
VILCUN;0;212;1861.6;612;1363.6;142.6;0;263;0;260;519.6;395;0;35.6;0;4538.4;88;180;605.6;0;2055;6821;634.6
COYHAIQUE;0;0;1102;0;0;1282;0;0;0;3980.4;4047;0;0;0;0;2099.4;2661.6;3953;1770.8;0;3750.8;5927;6595.8
RIO BUENO;0;1700;0;177;0;0;0;0;0;0;3107;0;0;0;0;6006;0;2692.2;567;0;3651.6;5122.6;1841.6
SAN JOAQUIN;616.6;0;647;1651.2;6351;4540.2;516.2666667;0;3129.6;8410;3237;0;1888.266667;1408.2;516.2666667;2860.6;2972.6;8804;0;0;12669.2;2404;2615
PEMUCO;0;57.2;198;44;146;28.2;0;0;57.6;69.4;1173.4;109;0;40.2;0;66.4;67.2;644.4;489.8;0;296;1858.4;1656
CUREPTO;27.2;61.6;1060;64.8;102;324;0;0;0;53.8;418;213.8;0;0;0;2071.2;1069.4;383.8;65;0;547.4;1407.8;1330
QUIRIHUE;0;41;0;227;0;659.2;0;1018;203.8;104;1240.6;77;0;5.2;0;17.6;2638.6;729.6;57.2;0;80;867.6;1852.2
SAN PEDRO DE LA PAZ;0;1831;2913.8;7725.4;6850.8;5405;0;0;0;4461.6;3180;2037;0;1215;0;3670.6;2972.6;4990;8808.2;0;14391.8;8454.8;5253.6
PICHILEMU;0;129;0;233;2456;1508.6;0;0;0;252;1082.4;131.2;0;125.6;0;98;2360;1759;0;0;322.6;2994.4;4902
FLORIDA;0;644.8;594;775;238;103.6;177.2666667;136;0;210;293;1105.8;12.26666667;29.6;12.26666667;0;912.2;917;697;0;636.8;990.4;1309.4
CONCEPCION;0;3421.6;3346.8;3886;11017.8;5751.6;13135.53333;4547;0;11291;15695;3385;308.5333333;603.6;308.5333333;1432;4477.8;3966;18900.8;0;22683.8;9748.8;15846
CURANILAHUE;0;34.4;688.8;0;692.8;285;0;0;0;7403;2104;275;0;0;0;2048;82.4;1536;543.2;0;3849.8;3834.4;4192.2
QUINCHAO;0;0;0;0;607;169.8;0;0;0;134.8;1385;0;0;16.8;0;521;0;665.8;74;0;906.2;1354.8;535.4
SAN JAVIER;0;895;304;0;2303;1427;0;0;552;2334.8;1573;573;0;0;0;2555.6;1176.8;2070;1481.6;0;4147.4;7057.2;10587.8
RENCA;405;0;5418;715;10897;2770;0;0;1599.2;8433;3178;2263;1339;687;0;4189;7664.8;6880;3724.2;0;10145.8;5283.2;11407.6
NOGALES;0;0;0;0;310.4;526.6;0;0;0;1832.4;757;446;0;145.6;172;1028.4;1190.6;1254.6;551.2;0;1353.2;1732.2;1747
SANTA JUANA;0;32;301;102;265.4;1931.2;0;0;0;242.6;648;254;0;31.2;0;419.6;273.2;484;2833;0;795;1393.2;2006.8
DIEGO DE ALMAGRO;0;451.4;0;0;494;304.2;33.06666667;0;0;1199;99;743;33.06666667;125.2;33.06666667;48;178.4;560;0;0;538;1385.2;0
VITACURA;569;0;490;14895.2;962;795;0;0;1185;1411;2564;0;0;266;0;672.4;0;749;1021.6;0;18082.6;14194.4;11712
CONCHALI;399;0;2540;534;3442;2028.2;0;0;3710.6;7083.2;3803.2;3000.6;4223;559.2;0;3951;662.4;2156;1121.6;0;12276.6;6404;4404.6
PALENA;0;3.2;0;201;239.4;0;0;0;0;0;108;0;0;0;0;0;0;453;0;0;112.8;466.4;16
ALTO BIOBIO;0;177.6;118;164;180.4;223;72.66666667;0;0;96;179.6;315.6;6.666666667;130;6.666666667;240.4;592.8;164.6;651.8;0;345.4;432.2;267.8
BUIN;358.8;0;720;582.4;3457;2768.2;0;0;2717.8;4001.2;4312;1519;1884;748.2;0;2394.4;2029.8;2542;1490;0;9326.6;6886.6;9007
OLLAGUE;8;0;117;37.2;0;102;0;0;0;12;158.6;20.6;0;0;0;9;5;83.2;13;0;17;84.8;231.2
DOÑIHUE;0;0;367.2;0;1000.6;663;0;0;335;740.8;639.8;416;0;22;0;2180.6;3253.4;962.4;0;0;1244;1645.6;3547
PARRAL;0;344;206.4;851;2553;0;0;0;0;1002.6;2582;347;0;0;0;2782.8;0;421.8;1792;0;6719.8;6630.8;4126.8
RAUCO;0;163.2;331.4;363.6;182;1092.6;0;132;0;101.6;919;0;0;27.6;0;363;2056;509;445;0;677.6;1020;1115
LOS ALAMOS;0;99;3508;0;505.2;137;0;0;0;1223;763;187;0;0;0;118;584;1788.8;1082.8;0;2460.8;3223.8;1617.2
CURARREHUE;0;0;73.2;32.2;127.8;47;0;243;0;72;360.2;93;0;8;0;638;33;515;32.8;0;798.6;2800.4;400.4
CASTRO;0;0;0;0;1703;1733;0;0;0;1963.4;4224;0;0;993;0;944;1080.8;6637.4;316;0;4963;3980;5712
PAIHUANO;37.6;44.2;167;27.6;98.2;37.8;0;0;0;211.2;481.2;77.8;0;16.8;0;266.8;15;301.4;38.8;0;192;1063.6;425.4
LOS SAUCES;0;0;293;371.2;103.2;0;0;0;0;0;544.2;485;0;0;0;284.4;488;45;150.4;0;481.8;1058.2;1724
SAN CLEMENTE;799.4;353.8;2509.4;431.8;1989;199;0;0;0;1306;2297.8;2352;0;0;0;807;6547.8;1606.4;470;0;2594.4;4742.2;2952.2
MACHALI;0;0;2618.8;460;2405.2;752.6;0;1136;0;3300.2;3235.4;3172.6;0;65.6;0;1909.8;2238.2;1795;735.8;0;6737;3215.4;2457.2
MELIPEUCO;0;0;251.2;282;121.6;62;0;73;0;78;435.8;85;0;275;0;892.4;754.8;87;50.4;0;441.6;586.6;1098.2
SAN ROSENDO;0;84.8;645;45.6;40.2;13;38.33333333;0;0;43;663;39;5.333333333;151;5.333333333;144.4;750.4;272;37.6;0;147.6;834.4;175
PICA;0;0;112.8;23.2;168.4;23.2;0;0;0;53;771.2;659;0;3.2;0;192.8;75.2;123.6;49;0;345.4;1184.2;422.2
ESTACION CENTRAL;371;0;803;1096;7912.6;1942.4;579.4666667;0;3307.4;8674.2;4287.6;1384;579.4666667;1333.4;579.4666667;1951;2395;4582;0;0;10737.4;7158;7596.2
PADRE HURTADO;297;0;761;454.4;3847.6;0;0;0;2182.8;2683.2;1926;2805.2;0;3098;0;478;3013.6;7815;0;0;7893.6;5735.6;6229.2
COLBUN;0;82;637;1386;1084;268;0;0;0;977;280;175;0;0;0;3236.8;506.4;946.4;1680;0;2135.8;2226.6;1986
JUAN FERNANDEZ;0;0;0;0;250.4;3.2;1.866666667;0;0;17.4;9;7;1.866666667;3.2;2.866666667;7.4;0.8;4;4.8;0;16;100.2;6.2
CALDERA;0;188.4;55.8;0;276.2;652.4;147.0666667;0;0;1088.8;188;219;89.06666667;132.4;485.0666667;824.8;694.6;643;109;0;777.8;2154.2;1357.6
CAUQUENES;0;0;428;0;2471;0;0;520;0;771;2785;0;0;0;0;1551.6;2680.6;2564;629.4;0;4395;10418.4;6157.8
MEJILLONES;62;0;98.8;64.4;195;128.4;0;0;0;764.2;619.4;194;260;84.4;0;1146.8;87.2;407.2;150.6;0;547.2;944.8;92.2
PUREN;0;0;676;1665;571.4;647;0;137;0;0;1209;190;0;0;0;1238;811;614;305.6;0;572;1380.2;609.6
CALAMA;1675.8;0;6576.6;3603.6;643;8808.6;894.8666667;0;0;3166.8;5540;6980.2;566.8666667;813.6;501.8666667;948.4;5104.4;4348.4;3141;0;10267.2;5430.6;3310.2
LAUTARO;0;1501;2904;465.4;1038;149;0;0;0;515;1837.8;1877.4;0;899;0;1829.2;1845;1055;1661.2;0;3615.2;4629.8;2899.4
MAIPU;2000;0;8630;6190;100968;3353.6;1504.266667;0;13548.2;27427;15298;12601.4;7694.266667;14327.6;1504.266667;5281;6746.8;7890;4471.6;0;56159.8;23508.6;21515.8
HUALPEN;0;358.4;3029.6;1295;2066.6;4181.2;1386;547;0;3088;4818.2;2799.8;0;449.2;0;6257.2;6860;2866.8;8383;0;6048.8;3107.6;3786.2
PEÑAFLOR;467;0;1170;1041.6;4964.4;0;0;5809;2892.2;7696.2;7147;3530.6;0;566;0;758;4718.2;4571;731.2;0;7083.4;2021.6;11254.2
LO BARNECHEA;3166;0;400;10051;1431;400;0;0;1691;937;807;0;0;503;0;884.8;0;1168;1212.8;0;21058.2;16182.6;15181
CURACAUTIN;0;0;100;1173.4;987;0;0;360;0;0;1145.6;0;0;261;0;871.6;1610.8;739;2049.2;0;2285.6;1274.8;791.2
SAN ESTEBAN;0;77.6;187;0;302.4;811.2;0;0;0;1110;796.2;0;0;811.2;199;654.6;0;1137;295;0;1107;2317.2;1578
LOS MUERMOS;0;256;0;110.4;279.2;73.6;0;4222;0;421;676;233;0;85.6;0;568;0;527.4;0;0;1078;2075.6;3989.4
TILTIL;0;0;194;111;1290.8;0;107.4666667;0;101;1564;1184;583.6;107.4666667;622;107.4666667;1087;361.6;953;365.6;0;2144.4;1190.8;1848.8
OLIVAR;0;0;169.6;0;134.6;135.2;0;0;508.8;475.4;498;376;0;17.2;0;930.6;1548.6;2123.2;0;0;1357.4;1510.6;1184.4
LANCO;0;0;0;1664.4;166.2;39;0;0;0;173.4;1643.8;116;0;0;0;943.8;978.2;1796;0;0;1953.4;2125.2;1183.6
SAN VICENTE;0;0;3885.6;0;2217.2;1001.8;0;0;0;523.8;6568;840;0;92.8;0;1346.6;3003.4;2665.4;0;0;5743.4;5154.4;4577.6
MELIPILLA;0;0;1151;3933.6;12330;5543.2;0;1698;0;4613.6;2041;2994.4;888;1103.2;0;8775.4;3122.2;3878;2839.8;0;12366.6;7883.8;12691.2
PUTAENDO;0;0;85.6;66;746;34.4;47.46666667;988;0;771.6;496.4;0;47.46666667;34.4;47.46666667;675.2;250.4;912.8;225;0;1862;1805.2;242.8
ILLAPEL;0;0;1021.2;0;2217.6;175;0;0;0;932;5527.4;820.4;0;0;0;1653.2;711.2;2136.8;0;0;765.8;1209;1121.4
TORRES DEL PAINE;0;0;0;139;73.6;0;0;306;0;0;190;56;0;0;0;0;19.2;109.8;0;0;77.8;96.8;272.6
COLTAUCO;0;0;125.2;0;1065;726.4;0;0;0;614;695;290;0;12.4;0;1123;2889.8;1873.8;0;0;475.8;3278.4;2694.4
PUERTO MONTT;0;6037;0;2770.8;15936.8;4627.6;0;0;0;5631;7590;7536.2;0;7178.6;0;7140;3351.2;13288.4;5272.2;0;25822.4;24134.6;17147
QUILLON;0;150.6;1627.8;68;729;63.8;0;160;224;524.6;1512;249;0;221.8;0;824.2;984;533.6;284.4;0;2900;2634.8;931
ARICA;2940.2;0;6312.8;392;3223.8;4177.2;673.3333333;0;0;6583;5266.2;6838.6;5583.333333;4656.2;1381.333333;1724.8;4162.6;6050.4;3281.2;0;21240;10644.2;6370.2
PUQUELDON;0;0;0;0;73;260.4;0;0;0;79.4;217;0;0;14.4;0;222;0;375;35;0;966.4;680;362.2
CONCON;0;199.2;393;2727.2;3096;297;252;0;0;1234;2121.6;575;252;0;252;967;2076.6;808.6;1169.2;0;7407.4;4179;3138.6
PUERTO VARAS;0;1775;0;2735.6;3474.8;341.6;0;4423;0;444;3169;3211.6;0;1605.6;0;2144;0;3788.6;0;0;6281.2;3628.4;3161.8
QUINTA NORMAL;368;0;1127;3497;7471.8;1103;167.4666667;0;3028.8;5473;3411;1552;771.4666667;694;167.4666667;2216;3893.6;11716.8;1050.8;0;11252.2;8673.8;8027.4
CHILE CHICO;0;0;204;0;0;145;0;0;0;362;842.6;0;0;0;0;219.2;494.6;488;0;0;302.4;481;627
HUALAIHUE;0;83.2;0;227.2;1075.2;0;0;0;0;0;1023;95;0;0;0;0;456.6;842;0;0;699.2;1665.6;1906
PERALILLO;0;0;159.2;717.2;116;423.8;0;0;0;353;809;152;0;38.8;0;309;974.2;1710.6;95;0;2099.6;1074.6;1077
PAREDONES;0;0;572;125;307;415;0;0;0;159;673.6;38.4;0;72;0;266;780.6;183;313.6;0;491.6;1057.8;1669
TALCA;1769;2805.2;4297;12012.4;7027;4502;0;0;1991.6;13026.8;7848.4;5920.8;0;0;0;2429;6930.6;7738.6;5998.8;0;17394;27983.8;9570
CALLE LARGA;0;0;140;0;451.2;654.6;0;202;0;436;485.6;102;0;388.6;297;132.8;0;1762.8;227;0;712.8;2231.2;496.4
RANCAGUA;0;1666;0;862;11370;6329.8;0;0;9453.6;11853;6611;4542.2;0;1820.8;0;5788.8;6413.2;10433;7004.2;0;34369.6;13342;11678
TEMUCO;0;8031.4;4985;3883.6;15439.4;7564.4;0;5755;0;3883.4;7928.6;8954;0;3962.4;0;11400.4;7839.8;14634;11631.2;0;29002.4;26171.6;9171
GALVARINO;0;0;1198.2;89.4;2045.4;251;0;0;0;112;414;181;0;255;0;550.2;34;713;386.2;0;1357.4;2744;481
TRAIGUEN;0;0;143;1251.4;814;0;0;0;0;0;629.4;0;0;694;0;3134.6;926.2;296;1318.2;0;1559.4;2365.8;259.8
QUILLOTA;0;879.2;252;0;502.4;1785;153.3333333;1200;0;4791.2;3346.6;2387;153.3333333;480;1462.333333;3248.6;4832.6;2012;3412;0;7250.2;6432.4;3596.6
FUTRONO;0;0;0;283;163;0;0;456;0;0;575;230;0;0;0;3112;1072;746.2;0;0;1106.6;1822.8;3171.8
PUNITAQUI;0;227.2;965.2;242.4;365.8;260;0;0;0;535.6;674.4;444.8;0;102;0;427.4;228;412;251;0;466.6;628;462.4
ALGARROBO;0;0;224.8;0;788;0;65.33333333;312;0;693.2;1332.4;314;65.33333333;0;157.3333333;116.8;311.2;513.2;154.4;0;2169.2;1748.4;2457.4
PALMILLA;0;241;455.8;461.6;133;297.2;0;0;0;424;1066;206;0;47.2;0;130;889;1016;155;0;1865;1167.2;2111.8
RIO IBAÑEZ;0;0;0;0;0;0;0;0;0;0;154.4;0;0;0;0;342;264;243;0;0;0;1037.6;886
TEODORO SCHMIDT;0;541;468;554;208.6;945.4;0;0;0;297;579.4;145;0;14.4;0;1007.2;1582.2;116;64;0;1639.6;2227.4;2277.6
COCHAMO;0;108;0;36.8;133.8;30.4;0;294;0;84;99;52.2;0;28.4;0;257;345.6;49.6;15;0;519;604.2;320.6
SANTO DOMINGO;0;0;0;557;396;0;21.86666667;0;0;104;2470.4;128;21.86666667;0;63.86666667;0;1458;153.8;248;0;1686.8;1657.8;988
NAVIDAD;0;187;274;181;1753;890;0;947;111.6;992;410.4;87.2;0;56;0;332;443.2;460;0;0;0;725.2;1057
PIRQUE;202;0;310.4;374;1133.6;133.2;48.26666667;0;854;2751;476;320;267.2666667;874.2;48.26666667;1244;2432;1236;470.6;0;3767.4;3047.6;1042
SAN BERNARDO;2102;0;3868;3266.4;13114;2739;0;0;7549.8;11427;5326.8;10090.2;5045;2063;0;1856;5582.2;22783;9429.8;0;30451.6;13767.6;13280.2
PAILLACO;0;0;0;290.8;1433.2;1069;0;0;0;2920.8;1275;194;0;0;0;242;731.8;2056;0;0;2247.6;3777.4;446
VICTORIA;0;230;1234;3197.4;1385.8;0;0;0;0;58;938.4;0;0;1451;0;1789.4;1669.2;1251;1826.2;0;3027;2770.6;5203
TUCAPEL;0;28.8;165.8;143;1208.2;0;117.4;748;0;386;1067.8;164;14.4;0;14.4;461;995.8;245.4;165.4;0;662;3834.6;707.2
PENCO;0;163.2;1328.6;211;2513;3553.6;1245;0;0;1617;3409.4;1766.6;0;133.6;0;278.4;993.6;3089.4;5303.8;0;6644.2;673.4;7609.6
SAN FELIPE;0;310.4;1189.8;361.6;3226.8;939.2;178.9333333;1145;0;2657;1041.8;509;178.9333333;939.2;178.9333333;2770;3088;2485;1748.8;0;4760;7307.4;2055.2
ANCUD;0;742;0;0;1700;1758;0;0;0;1272.4;2509;0;0;2064;0;1860;1394.4;4077.4;2059.8;0;4080.2;3746.2;3413
ANTARTICA;0;0;0;0;4.4;0;0;9;0;0;2;0;0;0;0;1;0;1;0;0;17;18.8;10
VICUÑA;179.2;195.4;365;956.2;1801.2;529.4;0;468;0;746.4;809.2;433.2;0;248.4;0;646;673.4;1594.4;508.8;0;971.8;2056.2;1880.2
QUILICURA;921;0;3146.4;2297;10487;7934.2;0;0;7605.8;10398;5196;7409.6;5276;5276.2;0;4323;5781.4;2182;3721;0;15587;9486;4910.6
LA CRUZ;0;347.2;0;0;606.4;309;0;0;0;718.8;599.6;268;0;76;140;548.8;386.4;2240;832.8;0;1975;1887.4;1481.2
MARCHIGUE;0;0;0;183;577;25.6;0;0;0;94;117.2;38.4;0;25.6;0;401;768;946;0;0;806.4;718.4;3057
LONQUIMAY;0;146;517;260.6;171.2;0;0;1125;0;0;839.8;531.6;0;816;0;293.6;390;963;878.4;0;223.4;636.8;1563.6
EL TABO;0;0;0;82.4;700;92.8;68.53333333;0;0;665.6;900.8;523;68.53333333;92.8;187.5333333;378;1211.2;1098;176.8;0;1814;1488;1619.4
YUMBEL;0;110.4;2179.6;645.8;1050.4;1870;116.4666667;0;0;545;1684.2;179;15.46666667;0;15.46666667;835.6;1292.2;1977.4;199.6;0;2093.8;3390.2;401
DALCAHUE;0;0;0;0;2198;403.4;0;0;0;628.8;1129;0;0;62.4;0;1433;887.2;795.2;157;0;744.4;2280;1257.4
LAJA;0;37.6;831.8;123.2;223.2;359;195.4666667;490;0;160;624.2;198;19.46666667;0;19.46666667;131.6;3393;2921.6;325.4;0;1845.6;3793.8;2120.2
VALDIVIA;0;3699;0;3733.6;20208.6;4354;0;0;0;7070.8;7276.2;1371;0;0;0;6077.8;2488.4;15175;4126.2;0;19589.2;13870.4;3992.8
TOCOPILLA;0;0;124;0;1102.8;2664.4;0;0;0;744.2;1527.4;120;0;664.4;0;1169.2;254.4;294.2;1222.6;0;288;1231.6;986.4
SIERRA GORDA;16;0;31;8.4;32;11.2;0;0;0;32;25.8;33;0;7.2;0;5.6;38;338;120.8;0;61.8;228.2;113.8
PADRE LAS CASAS;0;904.6;1287;2777;3423.6;3184.2;0;0;0;3554.6;2866.2;621;0;1694.2;0;3763.2;2073;753;4724;0;8460.4;6460.4;1691.2
LAS CONDES;2645;0;4314;21620.6;17337;1145;0;0;5439;5141;5445;0;0;2603;0;3186.4;1379;5409;3486.6;0;61057.4;35108.6;34974
LA PINTANA;2806;0;4466;2003;6009.8;6618.6;506.9333333;0;5324.6;7581;8143;3566.4;6435.933333;432.6;506.9333333;2524.6;5490.6;7645;4269.4;0;10937.6;6685.6;5476.6
EL QUISCO;0;0;119;0;1089.6;0;66.93333333;277;0;2070;607.8;259;66.93333333;0;166.9333333;259;885.6;637.4;135.8;0;1520;1246.8;2037.8
OLMUE;0;134.8;0;455.8;578.8;112;269.6;0;0;555.6;1050;0;269.6;112;269.6;288.6;1271.4;580;192;0;2339.2;1791.2;928.6
LAGUNA BLANCA;0;0;0;85.6;22;0;0;234;0;6;22;0;0;0;0;97.2;6.6;163;9.4;0;16;23.2;112.4
QUILLECO;0;21.6;439.6;69.6;1008.8;0;61.53333333;0;0;61;2005.8;106;8.533333333;0;8.533333333;207.2;798;591.6;259.6;0;1239.6;913.8;662.2
ANDACOLLO;96;83.4;1173.6;59;168.6;49.6;0;185;0;929.4;644.2;213.6;0;23.6;0;56.6;29;1007.4;558;0;479;740;615.4
PORVENIR;0;0;0;392;0;0;0;755;0;297.4;629;0;0;0;0;771;879.4;51.4;0;0;505;37.6;0
PUENTE ALTO;3006;0;14143.4;7220;28847.8;3379.6;920.2666667;9981;21861.8;42639.6;2696;16743.4;9858.266667;10858.6;920.2666667;7360;2617.2;15564;18148.6;0;32713;42894.2;12173
ANTOFAGASTA;2414.2;0;5389.2;9568.4;13271;7566.2;0;0;0;14511.8;6149;13227.2;0;2786.2;0;3884.4;10255.8;7859.8;8980.8;0;26466.2;12736.2;9576
PURRANQUE;0;0;0;0;1035.6;97.6;0;356;0;251;3369;672;0;97.6;0;58;326.4;1368;677.2;0;3365.8;1341.6;1430.8
PANGUIPULLI;0;0;0;517.4;1613.4;154;0;0;0;956.8;629.8;1101;0;0;0;1028.2;3049.6;2624;0;0;3527.2;6542.6;2917.6
PANQUEHUE;0;0;0;0;286.4;66;19.73333333;171;0;115;201.6;0;19.73333333;66;19.73333333;814.4;407.2;473;95;0;598.6;726.6;811.6
ISLA DE PASCUA;0;0;0;1290;0;0;0;124;0;20;303.2;0;0;0;0;324.8;166.8;718.6;0;0;44;719.4;0
PITRUFQUEN;0;452;362.6;158.2;1205.8;590.8;0;0;0;280;748.8;254;0;604.8;0;863.4;3784.6;671;132;0;1363;2483.2;7280.4
TALTAL;28;0;108.4;215.4;280;66.2;0;0;0;635.2;621;135;0;23.2;0;242.2;940.2;795.2;699.6;0;282.4;736.8;299.2
YUNGAY;0;185.8;88.6;594;335;64.8;0;0;164.8;368;1275.8;600.2;0;72.8;0;792.8;2604.6;2628;197;0;1359.6;1867;986
TALAGANTE;0;0;0;2458.8;6347.2;0;0;0;2050.4;3454;1876;903;0;1019;0;148;2430.6;11673;1767.8;0;9557.6;1301.8;7714.2
CABILDO;0;0;166;0;80;1013.6;0;0;0;1891.6;1877.8;0;0;705.6;0;1543.8;730.4;233.2;0;0;2272;1836.6;0
RIO VERDE;0;0;0;31.4;19;0;0;37;0;7;20;0;0;0;0;7.4;6.4;8;7;0;209.2;88.8;44
GENERAL LAGOS;0;0;55.2;0;5;14.4;1.066666667;0;0;0;105;97.8;1.066666667;14.4;1.066666667;57.6;0;4;0;0;72;199.8;125.6
CUNCO;0;0;1497;248;864;471.2;0;0;0;473;749.8;286;0;27.2;0;780.4;1398.4;429;124.8;0;2446.8;2880;1789.4
CONTULMO;0;16;378;96;297.8;88;0;0;0;241;247;59;0;0;0;127;594.4;210;256.6;0;1164.8;558.2;511.4
CASABLANCA;0;0;48;443.4;3908;256.4;70.66666667;0;0;456;1190.4;482;70.66666667;256.4;214.6666667;315.4;678.6;822;350.2;0;1942.8;2390.2;2471.8
COLLIPULLI;0;259;705;263;917.2;0;0;0;0;1602;226.6;0;0;0;0;1281.2;1124.6;2781;935.8;0;3301.6;3778.2;1676.2
PINTO;0;152.8;139.2;46;154;46;0;80;123.2;301;779.8;210;0;49;0;154.6;539.8;350;951.4;0;2015.2;1089;3581
CHOLCHOL;0;290;513;1006.6;490.6;835.8;0;0;0;142;606.8;682.8;0;12.8;0;426.2;744.2;700;71.2;0;2069;707.2;2023.2
NUEVA IMPERIAL;0;1152;441.8;207.2;1713.8;691.6;0;1986;0;287;1326;386;0;1128.6;0;2292.2;1458.8;1181;1755.2;0;2077.2;2900;5388
TENO;362;136.8;741.6;1457.6;321.8;1464.8;0;0;0;406.8;3640;0;0;42.8;0;682;3436.2;344;239;0;4702;2496.4;2833
COIHUECO;0;243.2;96.8;167;234;482.4;0;370;0;1004;587;753.8;0;72.4;0;462.8;4172.2;435;1134;0;2468.8;5263.2;2315.2
CHILLAN VIEJO;0;322.2;783.8;107;378;539.2;0;0;360;1124.2;1493.4;1334.8;0;152.2;0;654.8;3410.6;2152.2;1180.6;0;2301;1036.2;2349
LITUECHE;0;0;0;1043;722;624.6;0;930;0;261;920.8;84.8;0;67.6;0;347;84;539;0;0;616.2;627;1649
LA FLORIDA;6339.2;0;2980;6692.6;14254;4758.4;1518.933333;0;11021;26772;10113;0;3871.933333;2060.4;1518.933333;9754;4786;11770;5254.4;0;31954.2;42753.4;15762
LICANTEN;0;46.4;754.8;914;78.6;77.8;0;0;0;44;95;121.8;0;12.8;0;168;1549;194.8;74.4;0;541.6;399.2;1464
ANGOL;0;3639;954;3170.4;1526;0;0;0;0;456;7987.8;0;0;0;0;2657.8;1387;2312;1416;0;5078;7022.4;2603.4
SAN ANTONIO;0;160;132;524;4708.4;922.8;345.3333333;0;0;3809.4;6511.6;1356;345.3333333;922.8;2539.333333;590;5914.2;4222;621.6;0;5511.6;7841.4;2301
CABO DE HORNOS(EX-NAVARINO);0;0;0;0;93.6;0;0;475;0;0;242.6;0;0;0;0;51;0;160;0;0;104;265.8;122
RENAICO;0;0;464;269.6;793.6;0;0;0;0;0;599.4;0;0;386;0;711.2;896.6;100;157.6;0;1400;1599.8;900.4
LLANQUIHUE;0;591;0;160.2;2595.8;323.2;0;195;0;391;948;447;0;294.2;0;385;1470.4;2292.2;787.8;0;1577;395.4;1170.4
COCHRANE;0;0;147;0;0;0;0;0;0;7;102;0;0;0;0;0;335.6;263.6;0;0;232.8;580.6;885.8
SAN PABLO;0;371;0;0;399.6;65.2;0;0;0;190;889;175.8;0;65.2;0;931;574.4;1098;308;0;944;1513;1555.4
SAN FABIAN;0;18.4;420.8;85;43;18.4;0;188;0;107;456;0;0;18.4;0;832.2;639.6;215;0;0;205;378.4;1580.6
LONGAVI;0;0;220;0;1230;181;0;0;0;979;648;634;0;0;0;1898.6;2893;841;237.6;0;5961;2062.4;7800.2
PUYEHUE;0;0;0;0;675.6;70.8;0;1041;0;714;1666;559.4;0;70.8;0;196;0;1776;223.8;0;877.8;1501.6;1546.8
RANQUIL;0;31;0;417;0;105.6;0;0;427.2;0;769.2;79;0;7.6;0;687.8;734.4;213.8;130.6;0;145;614.2;1644.6
FRUTILLAR;0;524;0;566.6;834;93.4;0;365;0;404;3460;215.6;0;298.4;0;441;870.2;1290.8;0;0;2615.2;2201.6;2768.2
TOME;0;180;1276.2;1137;1382;1674.4;1122;601;0;3314;9072.4;2414.8;0;292.4;0;1332.8;1454;2536.6;2332.8;0;6235;2641;5947
NACIMIENTO;0;117.6;727.4;736;1689;0;139.4666667;321;0;339;2683.2;939;19.46666667;91;19.46666667;556;3288;721.2;1127.2;0;2932.2;750.8;3574.8
AYSEN;0;0;601;1720;0;416;0;0;0;364.6;1555.8;0;0;0;0;1813.4;1362;1383.8;0;0;1718.4;2746.8;3442
ERCILLA;0;0;324;468.8;279.2;723;0;646;0;0;164;0;0;133;0;388.6;502.8;711;88;0;569.6;1128.6;705.2
CARAHUE;0;428;583;2039.2;440.4;322;0;0;0;187;3665.4;296;0;26;0;2607;103;791;136.8;0;1690.4;2474.2;5639.4
MOLINA;479;148.8;1083.4;298.8;2908.4;2739;0;0;0;475.2;1910;0;0;76;0;2872;4075.8;5373.2;343.8;0;5712;3818.4;6713
LAMPA;0;0;1062;2017;4813.2;762;649.3333333;0;853;4479;5314;3272.2;649.3333333;2756;649.3333333;810.2;3952;5122;0;0;14453.4;6281.2;3559.4
NEGRETE;0;21.6;502.8;53.6;115.2;0;186.7333333;294;0;72;1524;130;7.733333333;0;7.733333333;38.4;1267;1113.6;164.8;0;726;885.8;1813.8
COLCHANE;0;0;568.8;4.8;8;102.8;0;0;0;7;189.6;103;0;86.8;0;0;28.8;11.6;12;0;92.8;354;118.6
LAGO VERDE;0;0;0;0;0;0;0;0;0;53;59;0;0;0;0;156.6;190;111;0;0;83;229.4;320
PAPUDO;0;0;505.8;0;449;99.2;0;0;0;229;555.8;0;0;99.2;0;429.6;0;76;0;0;608.8;1671.8;493.6
QUILPUE;0;2272.8;531.2;0;11018;1543.6;1439.466667;0;0;4345;4629.2;2070;1439.466667;1543.6;1439.466667;1818;5185.4;3866;2928.8;0;18721.6;13021;4533.8
CHIGUAYANTE;0;616.6;5492.2;471;2701;3659.4;1147;1138;0;3504.2;2441;3160.4;72;980.4;72;1233;2219.8;6917;4353.8;0;8384.4;3560.8;4244.8
LINARES;0;619;3537.6;1068;6431;0;0;0;0;6745;2729;778;0;0;0;4889.6;2968.6;4765.2;1262.6;0;6930.8;20015.2;5770
MONTE PATRIA;0;238.4;643.2;0;867.2;1261.2;0;0;0;1638.6;1732;1189.6;0;1261.2;0;847.2;2359;1135.8;258;0;1278.8;655.8;1427.6
