Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI
TREHUACO;0;42;0;86;259;609.2;0;734;0;0;697.8;117;0;212.2;0;254.8;921.4;260.8;68.6;0;89;539.6;1281.6
MARIQUINA;0;0;0;168;265;62;0;0;0;305;2346.8;185;0;0;0;3508.2;1163.4;2138;0;0;1332.6;3878;2129.8
CURICO;0;1640.4;4301.4;3107.4;7101.2;5345.6;0;1368;2509.6;3648.2;8837;2395.8;0;553.6;0;2967;10381.6;6455.8;4260.2;0;10048;7683.4;16755
O'HIGGINS;0;0;0;0;0;0;0;0;0;0;223;0;0;0;0;9;0;95;0;0;0;222;149.6
NATALES;0;0;0;0;1565.4;0;0;2113;0;994;2094;1304;0;0;0;0;591.4;2528.6;0;0;1562.2;1449.6;747.8
CERRO NAVIA;718;0;1304.4;944.8;9434.4;1508.2;203.7333333;0;2719.8;8903;2611.6;3805;1206.733333;831.2;203.7333333;1655.4;1198.4;3464;3470.4;0;6147;11089.8;2477.8
GORBEA;0;119;1169;65.6;148.8;107.2;0;0;0;127;1301.2;205;0;160.2;0;88.8;1328.8;812;65.6;0;2897.8;1700.2;2106.6
NANCAGUA;0;0;238;131.2;185;427.8;0;165;541;342;1713;291;0;164.8;0;1614;1454.6;1941;177;0;2061.8;1271.6;1676.4
CHIMBARONGO;0;0;346.8;393;2597;964;0;0;0;685;1570;388;0;164;0;237;3222.6;2368.8;309;0;3041.8;7909.6;4408
HUASCO;0;0;0;0;321.6;599.2;0;0;0;412.8;258.4;218;0;299.2;67;218.4;339.8;801.8;0;0;530;363.4;887.4
IQUIQUE;3955.4;0;5141;735.2;5046.6;5470.8;635.2;0;0;3591;3306;6280;903.2;2727.8;1732.2;4561.2;4967;3235.2;3495.2;0;16779.2;8036;7555.2
MARIA ELENA;0;0;0;0;49.2;148.4;0;0;0;58.4;68.8;210;0;102.4;0;28;115.2;287.4;0;0;30.4;860.6;565.4
SAN PEDRO DE ATACAMA;231.4;0;320.2;68;0;345.6;0;0;0;101;1725.6;297.6;0;241.6;0;18;543.2;195.6;67;0;242.2;433.4;63.4
RIO NEGRO;0;0;0;599;183.4;57.2;0;0;0;101;847;141.6;0;57.2;0;1043;0;990;155;0;1268;2919.4;3138.8
PUDAHUEL;2013;0;7771.2;974;10146;4625.6;0;2724;5314;16822;3970;3398;8670;814.6;0;6876;4920;15552;4241.4;0;21973;11217;7933.6
BULNES;0;252.8;101.2;75;505;56;0;0;156.8;1259.2;1472.6;245;0;164;0;2989.4;1530.6;1769.2;375.2;0;1255;2335.4;3460
ANTUCO;0;12;562.8;167.6;63.2;0;55.93333333;83;0;45;768.8;49;2.933333333;0;2.933333333;273.2;501.4;244;241.4;0;159;622.6;168.4
CORONEL;0;184;1817.8;487.4;5301.8;4040.4;0;0;0;7088.4;3391;3228;0;1188.4;0;5099.2;5457.8;5817;7756.4;0;9442.6;5195.2;6553
TIMAUKEL;0;0;0;0;0;0;0;31;0;20.8;0;0;0;0;0;86;83.6;13.6;0;0;36;231.2;166
VIÑA DEL MAR;0;1583.8;2224;3818.2;27817.4;1878.2;1697.866667;0;0;14377.6;9246;6438;1697.866667;1511.2;3558.866667;6332;2188.2;7080.2;8056;0;40508.2;17077.4;19607
MALLOA;0;0;395.4;0;159.2;72.4;0;0;0;488;626.6;322;0;12.4;0;1285.2;104.8;634.8;0;0;1141;2946.8;3770
HUALAÑE;0;23.2;287.2;51.4;295;79.2;0;0;0;50.4;525;0;0;15.2;0;1123;2341.2;976;79.6;0;287.2;1584;1218
QUEILEN;0;0;0;0;68;386.4;0;0;0;173.6;694;0;0;20.4;0;96;453;460.2;62;0;496.6;916;1041
PICHIDEGUA;0;136;461.4;0;3754.4;618.6;0;0;0;383;2463.8;421;0;13.6;0;709.6;1658;1170.2;0;0;3099.6;1086.8;2313
CORRAL;0;0;0;59.2;654;365;0;714;0;63.4;355;63;0;0;0;426.8;377.4;1041;0;0;212;366.6;189
CAÑETE;0;52;443;0;943.8;195;0;0;0;1492;1248;301;0;0;0;0;1644.4;2316.8;1006;0;2443.6;5788.2;7113.8
CURACO DE VELEZ;0;0;0;0;28;6.8;0;257;0;47.8;956;0;0;53.8;0;378;0;392.6;23;0;56;759.6;262.8
PUCHUNCAVI;0;0;307;417;1806.8;234.2;132;0;0;596;987.6;447;132;175.2;132;623.2;511.6;618.2;233.4;0;1637;1585.4;1540.8
COELEMU;0;1206;0;621;0;159.6;0;916;0;651;1020.6;155;0;15.6;0;1185.6;2568.8;585.2;197;0;1003.4;2103.4;1727.6
LOS LAGOS;0;513;0;133.4;245.4;51;0;0;0;3157;1058.2;380;0;0;0;925.8;71.2;1290;0;0;2004.6;3065;4410.6
LA CISTERNA;2607;0;1128;860;3989.4;1388.8;250.1333333;0;2872.4;4208.6;1686.4;0;250.1333333;292.8;250.1333333;2274.2;2491.4;3331;1684.8;0;7581.8;9290.6;2421.2
CODEGUA;0;0;1057.4;0;914.4;116.2;0;0;85.6;375.4;361;348;0;13.2;0;1338;1681.2;1014.6;128.8;0;1608.4;923.4;1257.8
