Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI
SAGRADA FAMILIA;0;119.4;618.8;649.8;1359;721;0;0;0;299.6;692;0;0;24;0;279;1748.4;987.8;1293.4;0;1657.6;2535.4;3234
CURARREHUE;0;0;73;35.8;128;48;0;234;0;70;391.8;87;0;8;0;615.8;33;504;33.6;0;858.4;3074.6;395
PEÑALOLEN;6497.4;0;1920;5262.4;23359;4411.8;1433.333333;2874;5996.4;7823;9171;1674;4509.333333;1129.8;1433.333333;8659.2;3540.6;8459;2805.6;0;17727.4;19487.6;9165
SAN PEDRO;0;0;255;89.6;268;530.6;0;1577;248;232;73.6;0;0;349.6;0;1348;455.8;549;0;0;700.4;728.2;1823.4
MARCHIGUE;0;0;0;183;653;26.4;0;0;0;96;115.4;36;0;26.4;0;382;832.8;935;0;0;714.4;781.2;3498
TEODORO SCHMIDT;0;530;478.4;647.4;202.6;896.8;0;0;0;290;637.2;149;0;14.8;0;1071.8;1558;122;59.2;0;1822;2421.6;2319.2
RIO CLARO;56.8;521.2;413.4;935;144;56;0;0;0;227.6;191.4;155.6;0;0;0;68.2;1312.2;370.8;401;0;1293;4145.6;1035.8
CUREPTO;28;58.6;1132;65.6;103;313;0;0;0;50.2;398.8;209.2;0;0;0;2154;1046;419.6;73.2;0;542.2;1458.4;1448.2
VILLA ALEGRE;0;0;77.6;0;878;851;0;0;0;620.6;887;544.2;0;0;0;1280.8;737.6;1135.4;108;0;879.8;2632;3633.2
CONSTITUCION;173.2;174;832.4;1964.6;1573;489;0;0;0;2399;1571;1354;0;0;0;377.6;7268.4;1886;397.6;0;3332.2;2222.4;11353.8
SANTIAGO;1823;0;5176;6419;46148;2813;388;0;9037;35889;6492.2;8367.6;4702;4065;388;3096;2857.4;7935.4;5128;0;30417;37828.2;16704.2
LUMACO;0;0;39;1562.6;563.4;215;0;0;0;6;304.4;0;0;0;0;676.4;569;424;48;0;1833.2;703.4;827
PUREN;0;0;674;1776.2;555.4;648;0;142;0;0;1415.2;175;0;0;0;1242.2;783.8;621;304;0;618.8;1600;617.4
PALENA;0;3.2;0;193.4;255.8;0;0;0;0;0;107;0;0;0;0;0;0;451;0;0;112;491.6;35
SAN ROSENDO;0;85.6;752.8;45.8;43;13;38.06666667;0;0;41;644;40;5.066666667;153;5.066666667;132.4;747.4;272.2;43.2;0;163.6;850.2;196.8
MAULE;244.6;531.4;1504;1637.2;962;142;0;0;0;856;6385.4;606.4;0;0;0;416.6;2448.2;653.4;1049.4;0;3359.6;3336.2;3521.2
SAN FERNANDO;0;77;2824.4;1586;2445;4012;0;3156;1932.6;4216;2415;748;0;1050;0;616;3205.8;5149.8;1834;0;5716.4;6081.2;6348.2
SAN CARLOS;0;307.2;668;5145;979;346.8;0;1307;0;6061;0;304;0;346.8;0;866.2;2853.2;3591;0;0;5076;6017.6;6977.6
PANGUIPULLI;0;0;0;507.4;1782.2;150;0;0;0;881;603.2;1035;0;0;0;962.6;3012.8;5626;0;0;3274.6;6236.8;3284.4
PENCAHUE;43.6;66.6;105.8;506.8;141;292;0;0;0;71.8;1084.2;248;0;0;0;948.6;1470.2;178.6;135.6;0;1581.4;1151.4;1708.6
RINCONADA;0;0;247.2;0;0;490.4;0;172;0;354;261.2;53;0;414.4;133;217.6;605;488.4;158;0;982.4;2718.6;747.6
VILCUN;0;209;1733.4;691;1384;140.8;0;266;0;275;578.2;364;0;36.8;0;4671.2;84;177;601.2;0;2289.2;7786.2;646
COLCHANE;0;0;543.2;4.8;8;108.4;0;0;0;6;181.6;108;0;92.4;0;0;26.4;12.6;12;0;100;355;135
TENO;358;120.8;728.8;1439.4;329;1419;0;0;0;412.6;3504;0;0;42;0;727;3577.8;396.2;266;0;4706.8;2529.8;3129
PENCO;0;161.6;1299.2;209;2432.6;3694.4;1242;0;0;1682;3348.6;1685.4;0;136.4;0;292.8;986.4;3023.8;5422.6;0;6557.6;692;7434.8
SAN RAFAEL;74.6;45.4;898.2;195.2;200;545;0;0;0;157.6;2132.4;153;0;0;0;411;671.8;94.2;1047.6;0;723.4;1217.8;763.2
GENERAL LAGOS;0;0;55.2;0;5;15.2;1.066666667;0;0;0;101;98.6;1.066666667;15.2;1.066666667;59.2;0;5;0;0;73.6;201.8;144.8
CANELA;247.2;0;434.4;0;145.2;0;0;0;0;2570;746.8;83;0;0;0;1066;0;59.2;0;0;298;315.6;1221.6
CURACO DE VELEZ;0;0;0;0;32;7.2;0;260;0;45.8;929;0;0;59.2;0;353;0;378.6;22;0;50;856.6;591
PELARCO;58;127.2;180.6;465.8;129;46;0;0;0;194.6;1276.2;291;0;0;0;410.8;795.8;85;112.8;0;1293.2;1877.6;1683.8
PINTO;0;161.6;142.2;45;151;47.4;0;81;115.2;301.2;798.8;198;0;51.4;0;160.4;529.2;347;966.4;0;2017.8;1059.8;3593
PORVENIR;0;0;0;433;0;0;0;856;0;291.8;601;0;0;0;0;756;857.2;51.4;0;0;497;36;0
SAN BERNARDO;2170;0;3703;3157.4;12897;2750;0;0;7587.2;11511;5376.8;9786.8;5050;2055;0;1807;5677.6;22926;9372.4;0;30907.4;13426.4;13123.8
PLACILLA;0;80;382.2;45.6;90;548.8;0;0;0;235;2081;158;0;302.8;0;34;672.8;932.2;321.2;0;1123.4;1143.6;721.8
EMPEDRADO;13.2;18.8;408;58.4;55;17;0;726;0;26.8;73.2;44.6;0;0;0;407.2;682.6;29;61;0;82;783;1308.8
LAGO RANCO;0;0;0;0;0;0;0;0;0;241;1091;0;0;0;0;659;0;2639.2;0;0;1107.4;2199.4;1862.6
PARRAL;0;337;212;811;2499;0;0;0;0;1006.6;2620;327;0;0;0;2735.6;0;479.6;2112.2;0;6586.4;6653.2;4718
HUALAIHUE;0;79.2;0;209.6;1145.2;0;0;0;0;0;959;93.2;0;0;0;0;443.4;791;0;0;630.4;1848;4269
PIRQUE;208;0;304;358;1121.4;132.8;50.66666667;0;878.6;2767.2;470;305;274.6666667;894.8;50.66666667;1241;2514.4;1271;470.6;0;3598.4;2927.2;1077
QUINTERO;0;0;2068.6;926.2;1396;186.8;242.6666667;0;0;946;922.6;1018;242.6666667;186.8;242.6666667;1943;1580;518;307;0;2633.6;1757.6;1012.2
ISLA DE MAIPO;0;0;155;1853.6;3210.2;0;0;0;1151.2;997;1185.4;503;0;216;0;65.6;827.2;2924;0;0;2682.6;2079.8;4687
LONQUIMAY;0;133;483;292.4;173.6;0;0;1166;0;0;891.2;530.2;0;815;0;297.6;367;920;874.4;0;246.4;732;1545
EL MONTE;0;0;170.4;336.8;823.6;0;0;0;1321.4;2214.6;1404;443;0;220;0;619.2;1845.8;1651.2;368;0;1969;2013.2;4384.4
VICUÑA;170.6;177.8;395;893.6;1886.8;498;0;422;0;840.6;825.4;407.2;0;240;0;597.8;614.2;1651.8;496.4;0;892.4;1878.2;4061
PUNTA ARENAS;0;0;0;4277;8952;0;0;15808;0;6521;2965;1048;0;0;0;2501.4;1943.4;7732;3595.4;0;10856.4;9349.6;5495
SAN PABLO;0;382;0;0;379.8;62.8;0;0;0;184;848;177;0;62.8;0;936;587.2;1093;299.8;0;938.6;1487;1543.8
