Distrito;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI
1;0.027697206248721018;0.0;0.06677518008910115;0.0036796939095433607;0.03155900745888974;0.0405798897218264;0.006898800282109866;0.0;0.0;0.06223376194257799;0.05334429731926789;0.0658026895558647;0.054603403466547004;0.04508563736616521;0.01355416503176865;0.020542454468481353;0.04053483224538301;0.05820862738030198;0.0316209614889994;0.0;0.2012905212211327;0.10715606595663593;0.06883280484668253
2;0.038667498433536396;0.0;0.05302513794540702;0.010133018292430462;0.04853828933893857;0.04758184944835639;0.005147017554513395;0.0007590792782398194;0.0;0.035890648419320915;0.07755581992983347;0.07568710476122127;0.008128128901782503;0.025009592001788667;0.013910932857827673;0.04630659626091349;0.05848084773973794;0.03699890416555105;0.05045392940838741;0.0;0.16235325617407484;0.12541783863906747;0.07995451044907131
3;0.017011337311875794;0.0;0.04895908442385285;0.052028136170473895;0.059727996563521166;0.07609729530705858;0.0034321320998828937;0.0;0.0;0.07680530199591917;0.06303637451482748;0.08137704616234294;0.003171327902469458;0.01811438565270086;0.0019248372530670064;0.02857953760949941;0.06651811055029686;0.056030713529601275;0.05521148152125554;0.0;0.14651979810686835;0.08701271803997974;0.058442385284506695
4;0.0;0.02879244065700691;0.01428533025081319;0.0;0.051559181698432745;0.11430280383881285;0.02020305205337061;0.0009274442861367239;0.0;0.09940724213016477;0.025844780773676707;0.035471383639345135;0.007890893124367141;0.01884996908519046;0.01695699705189208;0.048080593564343126;0.06152315922471034;0.10549745960912926;0.032982069410468016;0.0;0.10487244280760234;0.14137073577246698;0.07118202102207047
5;0.012106626363899944;0.018232042228222566;0.04021902909534318;0.017228719390118316;0.06629574125379176;0.029777643480516224;0.0025382861846334833;0.009352966324735194;0.0;0.10222937417419498;0.08394535686751298;0.05704417728801174;0.0025382861846334833;0.01627431427291706;0.0025382861846334833;0.04042540073040271;0.04554902243539931;0.08110354301880426;0.0404213242536608;0.0;0.1214907267797515;0.12579497665962283;0.0848941568291941
6;0.0;0.011495969962301601;0.017362897028301034;0.006466743112326713;0.06849891685172971;0.03548596445579364;0.007882576238913868;0.01844831446396263;0.0;0.07876613376578584;0.063374763250413;0.021590730308182916;0.007882576238913868;0.023086866675945034;0.01798981699433415;0.051532367374847975;0.055633883782426376;0.06555051464670608;0.03116509539571219;0.0;0.16733127999080236;0.17254582201271945;0.07790876744988172
7;0.0;0.005671899367221193;0.010474683859983971;0.022921190275888896;0.1347655925276903;0.016930075115466337;0.008214264734081052;0.0014817764358891654;0.0;0.08273424952699533;0.060897478527750154;0.04496453712047403;0.008214264734081052;0.01590343057222756;0.024879573625238436;0.0377813504823151;0.041700472505877224;0.04455554188543478;0.03513119436584125;0.0;0.20028754360121964;0.1068836724446942;0.0956072082916302
8;0.006546785335673796;0.0;0.026725592858293137;0.01952542959657756;0.1698025890602827;0.023558258822316443;0.004206401211882446;0.0032207771815740333;0.04142293084575197;0.08868984601516319;0.04907263136313364;0.040739047761382506;0.02801461315320944;0.03302786397915433;0.004206401211882446;0.03005018216781952;0.03377985160304607;0.048632080123098956;0.015698569308074433;0.0;0.16837121135983718;0.09431887538595529;0.07039006165589094
9;0.0069441799275109664;0.0;0.03789009736502067;0.020581289390640887;0.09427090505811724;0.0276133703298925;0.0014708769297934621;0.0;0.03772235293428228;0.12624965938357952;0.04110983817423739;0.04381755559006485;0.02345162367818854;0.010196151107699251;0.0014708769297934621;0.057996355038046496;0.03646719973746898;0.07250368451740881;0.03332180853401623;0.0;0.12614271315262843;0.11439474293349118;0.08638471928811901
10;0.011061164015267898;0.0;0.015981522937878592;0.03952091862415321;0.1318789058094684;0.026651051241862907;0.002921641694755769;0.003955199231943973;0.04888669110952111;0.12213435569362514;0.0460005877214436;0.01737608895220303;0.011295466821106505;0.020827412142475035;0.002921641694755769;0.027872033165276425;0.017424038878550336;0.06343534166733412;0.016811940656742547;0.0;0.14941759590855866;0.12822908599671956;0.09539731603635729
