Distrito;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
1;0.02047298947555397;0.0;0.049358319641191875;0.0027199253963319857;0.023327523424663613;0.02999550379679381;0.005099397545776159;0.0;0.0;0.04600143212398418;0.03943059194458013;0.048639482215018424;0.04036128750536583;0.03332602469026155;0.010018854448835797;0.015184399840134994;0.02996219858785914;0.04302616679248633;0.023373318086948796;0.0;0.1487882454815933;0.07920672543185753;0.050879257515875465;0.10378735734268837;0.15704099871219854
2;0.02859469869779148;0.0;0.03921220416065777;0.007493388936687906;0.03589416991478848;0.03518688054770529;0.0038062306103543225;0.0005613407675263346;0.0;0.02654121210822242;0.05735269652795426;0.05597077762026216;0.006010768897366836;0.018494647360626743;0.010287164926340185;0.034243828058261046;0.043246713349806135;0.027360769628810865;0.03731078988810947;0.0;0.12006058397810976;0.09274676284985563;0.059126533353337486;0.11037490418933718;0.15012293362808826
3;0.011853114803165176;0.0;0.034113581883339524;0.03625202767526196;0.041617116117980635;0.05302287297867166;0.0023914319640902164;0.0;0.0;0.05351619601439883;0.04392231899240239;0.05670168387239876;0.0022097095023922335;0.012621693920581939;0.0013411830310415815;0.019913574935127753;0.04634831385607046;0.03904093298449747;0.03847011066363439;0.0;0.10209167898192664;0.06062849247856076;0.04072133127737528;0.1197951880961098;0.18342744597097252
4;0.0;0.022018471216458606;0.010924434530998646;0.0;0.039428903290795736;0.08741089462566747;0.015449899694887437;0.0007092453732018316;0.0;0.07601979719693894;0.01976430439989104;0.027126065795357007;0.006034410392671816;0.014415155237365923;0.012967540888681028;0.03676871919536626;0.04704866553941194;0.08067717514763095;0.025222410098009487;0.0;0.08019920543960364;0.10811058060470877;0.054435096339163186;0.10137583323482702;0.13389319175836317
5;0.00881268872874211;0.01327151827578571;0.029276346170751543;0.012541176758596721;0.04825817813730642;0.02167582406373296;0.0018476762540836748;0.006808236946675424;0.0;0.07441508694921622;0.06110573483150402;0.04152375427438957;0.0018476762540836748;0.011846443563220906;0.0018476762540836748;0.02942656877840088;0.033156169568312154;0.059037113886169834;0.029423601418249783;0.0;0.08843586366315417;0.09156902506269475;0.06179638790667208;0.12267623244667375;0.14940101980749992
6;0.0;0.008742397102759765;0.013204048129345027;0.004917796100275988;0.05209170989403399;0.026986186799748287;0.005994501716631714;0.014029480891950566;0.0;0.059899671092366796;0.04819491947572653;0.01641920940222562;0.005994501716631714;0.017556983621343218;0.01368080505483136;0.03918907414629545;0.04230817460290069;0.04984952389498425;0.023700274147215792;0.0;0.12725124562693202;0.13121677417425087;0.05924766549207873;0.09565672811107623;0.14386832880639547
7;0.0;0.004186902903800951;0.007732239489864264;0.016920045986590006;0.09948174573539423;0.012497503230076236;0.00606363523768994;0.0010938230142203127;0.0;0.06107306338865449;0.04495351789129332;0.03319208237821976;0.00606363523768994;0.011739651099606622;0.018365692392013484;0.02788957204673155;0.030782603519686206;0.03289016881693146;0.025933270352855337;0.0;0.14784897326377455;0.07889977052728406;0.07057567000111375;0.10096001762389731;0.16085641586261212
8;0.005105844139796666;0.0;0.02084331541077839;0.015227901202054212;0.13242920148175524;0.018373108569223886;0.003280576325038942;0.002511887201879378;0.03230578335286408;0.06916929566461547;0.03827179209688728;0.031772422281804234;0.021848623570649497;0.025758462680770117;0.003280576325038942;0.023436165790456966;0.026344938547288213;0.03792820576376678;0.012243329205871102;0.0;0.13131286864526656;0.0735593810503377;0.0548972763544365;0.08712578505696376;0.13297325928245599
9;0.005176030066837946;0.0;0.028242396545600526;0.015340814007167273;0.07026733813098907;0.020582363441939876;0.0010963574234399362;0.0;0.02811736375179189;0.09410355718298387;0.030642316393573753;0.0326605859233276;0.01748029436760024;0.00759997368305388;0.0010963574234399362;0.043229132968554254;0.027181801777158256;0.054042558651436694;0.024837300394563097;0.0;0.0940238419519967;0.08526717842752972;0.0643891588377847;0.09566100715826395;0.15896227149096695
10;0.009009689146959697;0.0;0.013017486547215336;0.03219111398352108;0.10741979277627682;0.021708175269568447;0.0023797751694317006;0.003221642455072652;0.03981984985596978;0.09948252981737553;0.03746902182949143;0.014153407347832212;0.009200536642209968;0.016964625863995848;0.0023797751694317006;0.022702706005106623;0.014192464171364758;0.05167021378265117;0.013693889636326423;0.0;0.1217056442128479;0.10444689210236116;0.07770431409890234;0.07269260359767893;0.11277385051840841
