;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
314;SAN MIGUEL;355.0;0.0;1963.0;2310.2;16820.0;1748.6;280.53333333333336;0;2606.8;9096.0;2254.0;1604.6;742.5333333333333;631.6;280.53333333333336;618.4;2849.4;5730.8;2320.0;0.0;10838.4;12064.2;10171.8;7166;10758
315;CASABLANCA;0.0;0.0;45.6;438.2;4257.0;248.0;69.86666666666667;0;0.0;499.8;1194.6;482.0;69.86666666666667;248.0;208.86666666666667;341.2;720.2;827.6;336.4;0.0;2012.6;2520.8;2297.6000000000004;2024;2337
316;LAS CONDES;2586.0;0.0;4178.0;21501.8;16689.0;1106.0;0.0;0;5374.0;5258.0;5402.0;0.0;0.0;2618.0;0.0;3181.4;1374.6;5252.0;3441.0;0.0;58882.0;34875.2;36007.0;15067;16754
317;ISLA DE MAIPO;0.0;0.0;156.0;1909.4;3155.6;0.0;0.0;0;1163.2;998.6;1134.8;499.0;0.0;214.0;0.0;66.4;834.4;2907.0;0.0;0.0;2598.6;2041.6;4640.0;2058;2771
318;PORVENIR;0.0;0.0;0.0;429.0;0.0;0.0;0.0;0;0.0;297.4;738.0;0.0;0.0;0.0;0.0;851.0;1238.8;161.6;0.0;0.0;518.4;36.0;0.0;174;238
319;VICTORIA;0.0;225.0;1209.0;3203.2000000000003;1383.4;0.0;0.0;0;0.0;57.0;931.0;0.0;0.0;1431.0;0.0;1764.4;1716.2;1264.0;1756.4;0.0;3086.8;2670.4;4919.0;2170;3401
320;CALBUCO;0.0;2552.0;0.0;239.4;770.6;598.2;0.0;0;0.0;1135.0;1110.0;479.6;0.0;842.2;0.0;661.0;1885.6000000000001;2737.0;0.0;0.0;4139.8;3969.6;5141.0;4783;3378
321;MAULE;256.8;535.4;1499.6;1681.0;965.0;142.0;0.0;0;0.0;883.8;6138.8;600.6;0.0;0.0;0.0;395.0;2527.2;577.4;953.2;0.0;3328.8;3356.0;3125.8;2558;3845
322;TIERRA AMARILLA;0.0;398.8;55.2;0.0;388.8;449.20000000000005;136.13333333333333;0;0.0;740.8;442.8;207.0;74.13333333333334;167.20000000000002;102.13333333333334;922.2;185.4;348.6;230.0;0.0;500.4;1383.4;866.4000000000001;1187;1104
323;CABO DE HORNOS(EX-NAVARINO);0.0;0.0;0.0;0.0;102.4;0.0;0.0;0;0.0;0.0;260.0;0.0;0.0;0.0;0.0;77.0;314.40000000000003;184.0;0.0;0.0;104.0;261.2;121.0;17;36
