;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
206;QUILICURA;975.0;0.0;3127.8;2302.0;11079.0;7903.0;0.0;0;7477.400000000001;11103.0;5519.0;7372.6;5453.0;5461.0;0.0;4218.0;5956.6;2158.0;3641.4;0.0;16601.0;10342.8;5561.2;12612;22273
207;CAMIÑA;0.0;0.0;67.2;13.600000000000001;13.600000000000001;203.6;0.0;105;0.0;10.0;182.4;0.0;0.0;1.6;0.0;3.0;391.20000000000005;37.0;224.2;0.0;59.400000000000006;448.0;253.4;61;56
208;EL CARMEN;0.0;64.6;224.4;54.0;136.0;36.6;0.0;0;96.80000000000001;110.8;1132.0;272.0;0.0;46.6;0.0;376.6;920.8000000000001;2526.4;394.0;0.0;869.8;1234.6;3566.0;1194;799
209;ANCUD;0.0;756.0;0.0;0.0;1832.0;1755.4;0.0;0;0.0;1266.4;2481.0;0.0;0.0;2156.4;0.0;1859.0;1420.0;3836.2;2062.8;0.0;3903.6000000000004;3908.4;5634.2;3781;4063
210;LONQUIMAY;0.0;151.0;489.0;255.0;176.8;0.0;0.0;1092;0.0;0.0;850.2;515.6;0.0;842.0;0.0;299.8;381.0;922.0;824.8000000000001;0.0;217.8;659.8;1574.4;1234;646
211;SAN PEDRO DE LA PAZ;0.0;1756.2;2861.4;7649.0;6814.2;5473.0;0.0;0;0.0;4447.4;3294.0;1921.0;0.0;1159.0;0.0;3714.4;2970.0;5061.0;8574.2;0.0;14563.6;8320.4;4997.4;8399;13396
212;O'HIGGINS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;230.0;0.0;0.0;0.0;0.0;9.0;0.0;95.8;0.0;0.0;0.0;212.4;142.6;13;6
213;RENCA;422.0;0.0;5585.4;690.0;11999.0;2832.2;0.0;0;1548.6;9266.0;3207.0;2231.0;1370.0;676.2;0.0;4114.0;7528.0;6646.0;3763.8;0.0;10920.6;5865.4;11724.6;10755;16826
214;MELIPILLA;0.0;0.0;1090.0;3866.0;12069.0;5590.0;0.0;1783;0.0;4522.2;2166.4;3059.0;875.0;1148.0;0.0;8935.8;2932.6000000000004;4063.0;2808.6;0.0;12679.8;7949.8;12401.2;9507;11708
215;ARICA;3091.8;0.0;6330.200000000001;373.0;3206.0;4186.4;669.8666666666667;0;0.0;6725.0;5352.0;6820.2;5546.866666666667;4727.4;1370.8666666666668;1735.6;4219.8;6130.200000000001;3361.6000000000004;0.0;21476.0;10674.0;6456.4;14376;21985
216;SAN BERNARDO;2123.0;0.0;3589.0;3092.6000000000004;13361.0;2758.0;0.0;0;7524.200000000001;11827.0;5276.2;10207.4;4765.0;2008.0;0.0;1696.0;5962.8;23304.0;9608.8;0.0;29549.0;13733.6;12767.8;22610;37015
217;ALTO DEL CARMEN;0.0;0.0;0.0;0.0;352.0;461.6;0.0;0;0.0;93.8;108.4;236.0;0.0;81.60000000000001;33.0;86.4;294.40000000000003;347.4;0.0;0.0;351.0;630.2;165.4;358;334
218;MARIA PINTO;0.0;0.0;0.0;425.6;198.0;138.60000000000002;0.0;0;0.0;488.8;91.2;0.0;0.0;75.60000000000001;0.0;2484.0;1109.6000000000001;986.0;0.0;0.0;1945.4;468.8;3307.2;923;1024
219;QUILLOTA;0.0;914.4000000000001;246.0;0.0;817.6;1791.0;150.93333333333334;1210;0.0;4840.4;3459.4;2365.0;150.93333333333334;466.0;1420.9333333333334;3219.2;4704.8;2252.0;3281.6000000000004;0.0;7695.8;6707.2;3469.4;7385;8390
220;QUEMCHI;0.0;0.0;0.0;0.0;657.0;38.400000000000006;0.0;0;0.0;211.4;545.0;728.6;0.0;38.400000000000006;0.0;158.0;0.0;414.4;74.0;0.0;1314.0;1185.4;1863.6;1133;536
221;NINHUE;0.0;55.0;0.0;53.0;0.0;227.0;0.0;0;0.0;0.0;1081.4;63.0;0.0;266.0;0.0;112.2;782.4000000000001;367.2;148.60000000000002;0.0;327.0;769.8;823.8;441;378
222;LAJA;0.0;38.400000000000006;886.4;124.0;229.4;373.0;209.93333333333334;486;0.0;161.0;641.4;206.0;18.933333333333334;0.0;18.933333333333334;130.4;3466.8;2798.8;360.0;0.0;2002.2;3803.2;2362.6;1345;1506
223;SAN RAMON;335.0;0.0;3268.0;881.4;7144.2;1683.4;238.66666666666666;0;2727.6;5631.0;4612.0;0.0;3179.6666666666665;304.4;238.66666666666666;2307.8;2880.2;4767.2;2891.0;0.0;7741.4;5834.0;2367.4;7832;10681
224;RETIRO;0.0;0.0;124.0;0.0;324.0;0.0;0.0;1637;0.0;776.2;2457.0;174.0;0.0;0.0;0.0;939.6;0.0;467.4;182.4;0.0;1122.6;6272.6;3112.8;1521;1541
225;PICA;0.0;0.0;108.80000000000001;24.8;167.2;22.2;0.0;0;0.0;54.0;760.8000000000001;651.0;0.0;3.2;0.0;188.0;74.4;120.4;47.0;0.0;340.4;1275.6;427.4;231;265
226;PUDAHUEL;1957.0;0.0;7665.0;935.0;11342.0;4739.4;0.0;2692;5499.8;17753.0;4106.0;3665.0;9019.0;907.4000000000001;0.0;6338.0;4891.2;15105.0;4195.8;0.0;24256.6;12154.2;8455.0;16620;23562
227;TREHUACO;0.0;43.0;0.0;84.0;260.0;576.6;0.0;759;0.0;0.0;700.0;116.0;0.0;223.6;0.0;242.60000000000002;906.8000000000001;253.6;70.4;0.0;91.0;565.6;1239.6;375;242
228;GUAITECAS;0.0;0.0;109.0;74.0;0.0;0.0;0.0;0;0.0;29.8;9.0;0.0;0.0;0.0;0.0;234.4;112.60000000000001;11.4;0.0;0.0;118.0;368.0;118.2;90;29
229;SAN RAFAEL;76.4;46.6;925.4;204.0;198.0;529.0;0.0;0;0.0;163.8;2149.8;160.60000000000002;0.0;0.0;0.0;429.2;666.6;81.6;937.2;0.0;759.6;1182.0;673.2;832;931
230;ALTO BIOBIO;0.0;172.6;125.4;163.2;189.0;232.0;74.4;0;0.0;92.0;182.8;319.8;6.400000000000001;117.0;6.400000000000001;242.4;590.6;166.6;697.6;0.0;374.0;422.0;278.6;1068;401
231;CALDERA;0.0;185.0;58.8;0.0;280.0;651.8;146.86666666666667;0;0.0;1030.8000000000002;183.0;224.0;89.86666666666667;134.8;480.8666666666667;805.0;658.6;701.0;108.0;0.0;747.6;2076.4;1372.6;1074;1403
232;CORONEL;0.0;195.20000000000002;1830.4;466.6;5420.8;4189.4;0.0;0;0.0;6905.2;3543.0;3131.0;0.0;1285.4;0.0;5204.2;5304.8;5793.0;7534.8;0.0;9501.0;5121.8;7240.8;7960;13154
233;SAN MIGUEL;354.0;0.0;1958.0;2392.2;16461.2;1737.8;277.8666666666667;2800;2658.8;9162.0;2132.0;1698.0;728.8666666666667;593.8;277.8666666666667;613.0;2869.8;6185.6;2327.0;0.0;10971.6;12073.0;10484.6;7187;11125
234;CODEGUA;0.0;0.0;1018.0;0.0;906.0;120.6;0.0;0;84.0;380.0;346.8;349.0;0.0;13.600000000000001;0.0;2265.0;1718.8000000000002;1003.2;123.2;0.0;1570.6;989.2;1371.6;1246;1226
235;LITUECHE;0.0;0.0;0.0;993.0;809.0;602.4;0.0;905;0.0;249.0;937.6;86.4;0.0;68.4;0.0;343.0;90.4;531.0;0.0;0.0;643.2;678.0;1825.0;602;554
236;PUNTA ARENAS;0.0;0.0;0.0;4240.6;8703.0;0.0;0.0;0;0.0;6503.0;5247.0;1022.0;0.0;0.0;0.0;4598.2;8041.200000000001;9927.0;3737.6000000000004;0.0;10718.0;9305.4;5734.6;11984;16231
237;PEUMO;0.0;894.0;261.8;0.0;1062.6;49.2;0.0;0;0.0;125.6;340.6;285.0;0.0;11.200000000000001;0.0;1097.4;2052.2;649.2;0.0;0.0;1008.0;3241.8;1200.8;1144;1054
238;PALMILLA;0.0;233.0;453.8;464.8;141.0;296.8;0.0;0;0.0;415.0;1059.0;198.0;0.0;46.800000000000004;0.0;130.0;946.2;1050.2;144.0;0.0;1879.0;1203.6;2352.2;1122;835
239;PIRQUE;205.0;0.0;307.20000000000005;373.0;1092.4;130.4;50.666666666666664;0;892.6;2851.8;483.0;318.0;272.6666666666667;935.4;50.666666666666664;1240.0;2592.4;1240.0;446.0;0.0;3653.0;3006.8;1063.0;2216;2556
240;SANTA CRUZ;0.0;214.0;1562.0;477.6;478.0;1755.8;0.0;0;756.0;3385.0;2464.0;471.0;0.0;160.8;0.0;0.0;624.6;2595.4;290.0;0.0;4171.8;5023.2;6699.0;3365;3409
241;MELIPEUCO;0.0;0.0;248.4;271.0;122.60000000000001;63.4;0.0;73;0.0;71.0;430.4;87.0;0.0;267.4;0.0;876.2;771.8000000000001;85.0;48.800000000000004;0.0;428.0;606.6;1169.6;963;570
242;TEMUCO;0.0;8996.8;4937.0;3923.0;17548.2;7833.4;0.0;5919;0.0;3884.2;8178.0;9232.2;0.0;3802.4;0.0;12222.4;7909.400000000001;14942.0;11765.4;0.0;32336.0;28901.0;9435.6;20154;29017
243;SAN NICOLAS;0.0;86.80000000000001;116.0;148.0;942.0;261.4;0.0;579;0.0;308.0;1075.0;0.0;0.0;198.4;0.0;783.8;1034.2;700.0;366.20000000000005;0.0;1143.0;2222.6;1407.4;1332;1115
244;EL QUISCO;0.0;0.0;109.0;0.0;1235.2;0.0;66.66666666666667;268;0.0;2317.0;600.2;258.0;66.66666666666667;0.0;173.66666666666669;276.0;929.8000000000001;677.6;135.8;0.0;1619.0;1331.2;2024.4;994;1657
245;MAULE;244.2;515.4;1497.8000000000002;1666.2;969.0;144.0;0.0;0;0.0;865.8;6115.2;610.2;0.0;0.0;0.0;395.0;2496.2;560.2;960.2;0.0;3318.2;3376.0;3314.2;2545;3810
246;LLANQUIHUE;0.0;584.0;0.0;160.8;2689.6;325.8;0.0;197;0.0;380.0;913.0;447.8;0.0;294.8;0.0;386.0;1448.8000000000002;2293.4;823.0;0.0;1610.0;416.2;1199.0;1952;1993
