;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
107;LO BARNECHEA;3166.0;0.0;400.0;10051.0;1431.0;400.0;0.0;0;1691.0;937.0;807.0;0.0;0.0;503.0;0.0;884.8;0.0;1168.0;1212.8;0.0;21058.2;16182.6;15181.0;4638;6058
108;CURACAUTIN;0.0;0.0;100.0;1173.4;987.0;0.0;0.0;360;0.0;0.0;1145.6;0.0;0.0;261.0;0.0;871.6;1610.8000000000002;739.0;2049.2;0.0;2285.6000000000004;1274.8;791.2;1530;1635
109;SAN ESTEBAN;0.0;77.60000000000001;187.0;0.0;302.4;811.2;0.0;0;0.0;1110.0;796.2;0.0;0.0;811.2;199.0;654.6;0.0;1137.0;295.0;0.0;1107.0;2317.2;1578.0;1150;1487
110;LOS MUERMOS;0.0;256.0;0.0;110.4;279.2;73.6;0.0;4222;0.0;421.0;676.0;233.0;0.0;85.6;0.0;568.0;0.0;527.4;0.0;0.0;1078.0;2075.6000000000004;3989.4;2899;1683
111;TILTIL;0.0;0.0;194.0;111.0;1290.8;0.0;107.46666666666668;0;101.0;1564.0;1184.0;583.6;107.46666666666668;622.0;107.46666666666668;1087.0;361.6;953.0;365.6;0.0;2144.4;1190.8;1848.8;1384;1660
112;OLIVAR;0.0;0.0;169.6;0.0;134.6;135.2;0.0;0;508.8;475.4;498.0;376.0;0.0;17.2;0.0;930.6;1548.6;2123.2;0.0;0.0;1357.4;1510.6;1184.4;1257;1557
113;LANCO;0.0;0.0;0.0;1664.4;166.2;39.0;0.0;0;0.0;173.4;1643.8;116.0;0.0;0.0;0.0;943.8;978.2;1796.0;0.0;0.0;1953.4;2125.2;1183.6;1439;1472
114;SAN VICENTE;0.0;0.0;3885.6;0.0;2217.2;1001.8;0.0;0;0.0;523.8;6568.0;840.0;0.0;92.80000000000001;0.0;1346.6;3003.4;2665.4;0.0;0.0;5743.4;5154.4;4577.6;4171;4719
115;MELIPILLA;0.0;0.0;1151.0;3933.6000000000004;12330.0;5543.2;0.0;1698;0.0;4613.6;2041.0;2994.4;888.0;1103.2;0.0;8775.4;3122.2000000000003;3878.0;2839.8;0.0;12366.6;7883.8;12691.2;9416;11897
116;PUTAENDO;0.0;0.0;85.6;66.0;746.0;34.4;47.46666666666667;988;0.0;771.6;496.40000000000003;0.0;47.46666666666667;34.4;47.46666666666667;675.2;250.4;912.8;225.0;0.0;1862.0;1805.2;242.8;1411;1591
117;ILLAPEL;0.0;0.0;1021.2;0.0;2217.6;175.0;0.0;0;0.0;932.0;5527.400000000001;820.4;0.0;0.0;0.0;1653.2;711.2;2136.8;0.0;0.0;765.8;1209.0;1121.4;1598;1640
118;TORRES DEL PAINE;0.0;0.0;0.0;139.0;73.60000000000001;0.0;0.0;306;0.0;0.0;190.0;56.0;0.0;0.0;0.0;0.0;19.200000000000003;109.8;0.0;0.0;77.8;96.80000000000001;272.6;67;34
119;COLTAUCO;0.0;0.0;125.2;0.0;1065.0;726.4;0.0;0;0.0;614.0;695.0;290.0;0.0;12.4;0.0;1123.0;2889.8;1873.8;0.0;0.0;475.8;3278.4;2694.4;1501;1415
120;PUERTO MONTT;0.0;6037.0;0.0;2770.8;15936.8;4627.6;0.0;0;0.0;5631.0;7590.0;7536.200000000001;0.0;7178.6;0.0;7140.0;3351.2000000000003;13288.4;5272.200000000001;0.0;25822.4;24134.6;17147.0;23032;30361
121;QUILLON;0.0;150.6;1627.8;68.0;729.0;63.800000000000004;0.0;160;224.0;524.6;1512.0;249.0;0.0;221.8;0.0;824.2;984.0;533.6;284.4;0.0;2900.0;2634.8;931.0;1884;1792
122;ARICA;2940.2;0.0;6312.8;392.0;3223.8;4177.2;673.3333333333334;0;0.0;6583.0;5266.200000000001;6838.6;5583.333333333333;4656.2;1381.3333333333335;1724.8000000000002;4162.6;6050.4;3281.2000000000003;0.0;21240.0;10644.2;6370.2;14753;22403
123;PUQUELDON;0.0;0.0;0.0;0.0;73.0;260.4;0.0;0;0.0;79.4;217.0;0.0;0.0;14.4;0.0;222.0;0.0;375.0;35.0;0.0;966.4;680.0;362.20000000000005;584;286
124;CONCON;0.0;199.2;393.0;2727.2000000000003;3096.0;297.0;252.0;0;0.0;1234.0;2121.6;575.0;252.0;0.0;252.0;967.0;2076.6;808.6;1169.2;0.0;7407.4;4179.0;3138.6;3225;3816
125;PUERTO VARAS;0.0;1775.0;0.0;2735.6;3474.8;341.6;0.0;4423;0.0;444.0;3169.0;3211.6;0.0;1605.6;0.0;2144.0;0.0;3788.6000000000004;0.0;0.0;6281.2;3628.4;3161.8;4072;4601
