;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
218;LAS CONDES;2599.0;0.0;4323.0;20481.0;16924.0;1129.0;0.0;0;5409.0;4914.0;5406.0;0.0;0.0;2564.0;0.0;3013.8;1377.2;5399.0;3393.8;0.0;60292.0;34722.8;35787.0;14796;17483
219;LIMACHE;0.0;655.4000000000001;0.0;308.8;2643.0;445.20000000000005;434.1333333333334;394;0.0;1173.6;917.2;0.0;434.1333333333334;445.20000000000005;598.1333333333334;760.6;809.4;1798.0;694.6;0.0;5374.6;5088.6;4029.0;3647;5809
220;DIEGO DE ALMAGRO;0.0;459.20000000000005;0.0;0.0;495.0;301.8;33.06666666666667;0;0.0;1186.0;105.2;737.0;33.06666666666667;126.80000000000001;33.06666666666667;49.0;173.4;551.0;0.0;0.0;530.2;1399.8000000000002;0.0;615;939
221;OLMUE;0.0;137.0;0.0;428.20000000000005;645.2;112.80000000000001;274.6666666666667;0;0.0;526.0;1068.0;0.0;274.6666666666667;112.80000000000001;274.6666666666667;292.8;1315.0;631.0;187.60000000000002;0.0;2612.4;1712.8000000000002;933.6;1468;2158
222;MULCHEN;0.0;68.8;1985.4;315.0;1086.8;0.0;175.46666666666667;0;0.0;800.0;3473.2;1403.2;27.46666666666667;0.0;27.46666666666667;864.2;2137.0;472.8;390.20000000000005;0.0;4378.4;2496.0;1418.6;2745;2703
223;CISNES;0.0;0.0;0.0;86.0;0.0;0.0;0.0;0;0.0;168.0;732.8;0.0;0.0;0.0;0.0;130.4;187.0;582.2;0.0;0.0;388.6;1271.4;268.2;249;195
224;MARCHIGUE;0.0;0.0;0.0;196.0;626.0;26.400000000000002;0.0;0;0.0;93.0;111.4;36.800000000000004;0.0;26.400000000000002;0.0;384.0;828.0;877.0;0.0;0.0;753.6;741.0;3312.0;465;373
225;SAN BERNARDO;2065.0;0.0;3639.0;3100.2;13011.0;2689.0;0.0;0;7611.6;11497.0;5482.6;10053.8;5175.0;2061.0;0.0;1835.0;5575.200000000001;21912.0;9455.0;0.0;29116.0;14006.2;13175.2;22499;36464
226;PEUMO;0.0;871.0;258.4;0.0;1072.8;54.0;0.0;0;0.0;123.80000000000001;334.0;277.0;0.0;12.0;0.0;1095.4;2097.0;679.2;0.0;0.0;973.6;3220.6000000000004;1209.4;1196;1042
227;NANCAGUA;0.0;0.0;231.4;123.2;194.0;442.20000000000005;0.0;167;557.6;367.0;1638.0;282.0;0.0;161.20000000000002;0.0;1656.0;1475.2;1964.2;174.0;0.0;2046.6;1364.8;1724.8;1466;1301
