Distrito;p1;p2;p3;p4;p5;p6;p7
1;0;2;1;0;0;0;0
2;0;2;1;0;0;0;0
3;1;2;2;0;0;0;0
4;1;2;2;0;0;0;0
5;1;3;3;0;0;0;0
6;2;4;2;0;0;0;0
7;2;4;2;0;0;0;0
8;3;3;2;0;0;0;0
9;2;3;2;0;0;0;0
10;3;4;1;0;0;0;0
11;1;4;1;0;0;0;0
12;2;3;2;0;0;0;0
13;2;2;1;0;0;0;0
14;1;3;2;0;0;0;0
15;1;2;2;0;0;0;0
16;0;2;2;0;0;0;0
17;1;4;2;0;0;0;0
18;0;3;1;0;0;0;0
19;0;3;2;0;0;0;0
20;2;4;2;0;0;0;0
21;0;3;2;0;0;0;0
22;0;2;2;0;0;0;0
23;1;4;2;0;0;0;0
24;1;2;2;0;0;0;0
25;0;2;2;0;0;0;0
26;0;3;2;0;0;0;0
27;0;2;1;0;0;0;0
28;0;2;1;0;0;0;0
