Distrito;p1;p2;p3;p4;p5;p6;p7
1;1;0;1;1;0;0;0
2;2;0;1;0;0;0;0
3;3;0;1;1;0;0;0
4;3;0;1;1;0;0;0
5;4;0;2;1;0;0;0
6;4;0;2;2;0;0;0
7;4;0;2;2;0;0;0
8;5;0;2;1;0;0;0
9;4;0;2;1;0;0;0
10;5;0;2;1;0;0;0
11;2;0;3;1;0;0;0
12;3;0;2;1;1;0;0
13;3;0;1;1;0;0;0
14;3;0;2;1;0;0;0
15;3;0;1;1;0;0;0
16;2;0;2;0;0;0;0
17;3;0;3;1;0;0;0
18;2;0;2;0;0;0;0
19;2;0;2;1;0;0;0
20;4;0;2;2;0;0;0
21;2;0;2;1;0;0;0
22;2;0;2;0;0;0;0
23;3;0;3;1;0;0;0
24;3;0;1;1;0;0;0
25;2;0;1;1;0;0;0
26;2;0;2;1;0;0;0
27;2;0;1;0;0;0;0
28;2;0;1;0;0;0;0
