Distrito;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
1;0.02096252615560205;0.0;0.05195048577205701;0.002740613925700477;0.02452321067500828;0.030579333375605016;0.005036905525143431;0.0;0.0;0.04618040144005524;0.040256730003734004;0.04927750653449721;0.040855109119645294;0.03360880378190632;0.010187005215855638;0.0158011540168664;0.03086818985620584;0.04444162633243859;0.02335087608056982;0.0;0.14812842136410712;0.0792340371568068;0.05349481115126921;0.09891573140574472;0.14960652111118156
2;0.028819620101768997;0.0;0.03942199932615447;0.007674917372491019;0.036894569639696215;0.03570058050469198;0.00370920409885375;0.0005445730496396147;0.0;0.026363442963861724;0.055569862614907456;0.05664679399157795;0.005872227894151285;0.018279332383977945;0.010193186016992714;0.03436510416613651;0.04376942268131483;0.026724795174370253;0.03779947700629363;0.0;0.12069163830984883;0.09300900530424329;0.05854516546368614;0.1082173528456741;0.15118772908966724
3;0.011673687690182151;0.0;0.034041015773993676;0.0358554276608549;0.041132320158672304;0.05177245526746285;0.002315913566538678;0.0;0.0;0.052478619076276295;0.043591444240076625;0.05589818950830233;0.0022152600604062305;0.012557319522965953;0.0012961346228283564;0.019668224853575635;0.04592713533764484;0.03957536934539198;0.03887185431305571;0.0;0.103530607141949;0.06023105806965646;0.04044628705108536;0.12125833834835013;0.18566333839073057
4;0.0;0.021892946041825918;0.01090778925911828;0.0;0.039856653452293646;0.0879060118692097;0.015434305172586316;0.0007169390519280503;0.0;0.07488351029864895;0.019632782786035474;0.026557691930773605;0.005809785238070186;0.014757597232924732;0.01288633472904346;0.03675369997286979;0.04778115100180627;0.08179397750565041;0.02592224667035968;0.0;0.07893653696775013;0.10796586338545842;0.05365386182572914;0.10208902629361079;0.13386128931430713
5;0.008694038183665534;0.012862473434267099;0.02963308600272424;0.012240572769772523;0.04890978816924573;0.021664475348035138;0.0018979925155006838;0.006756976601449673;0.0;0.0742735002284986;0.060413471507188475;0.0415878506787665;0.0018979925155006838;0.011729593745794221;0.0018979925155006838;0.029512920892164944;0.03279583171264493;0.05880178007048702;0.029281094663485933;0.0;0.09071726369623445;0.09038967511790973;0.060969188926175;0.12421929652016632;0.1488531441848221
6;0.0;0.00878704688822538;0.013337368857453742;0.0048771533903868985;0.05233877227617946;0.026957262763831504;0.0060870434166005434;0.014097482074619987;0.0;0.06062924255091925;0.048141462766248214;0.016204624089201963;0.0060870434166005434;0.017452970512095354;0.01379174892595408;0.03936045765605481;0.041624973603184075;0.050026785215941776;0.02338311950234162;0.0;0.12755747025575134;0.13151512257041406;0.059266677752849856;0.09506162325888905;0.14341454825625655
7;0.0;0.004223555648253621;0.007654789658351403;0.01717931028524813;0.09801246980970706;0.012484310920833245;0.006347212126223503;0.0011384995501538364;0.0;0.0607758211080902;0.04451872631211302;0.034303084007074124;0.006347212126223503;0.011632750281693792;0.018415615894317623;0.028197764468200385;0.031265233987883154;0.033152242998382035;0.026068862870351747;0.0;0.14835204504138708;0.07852808360597673;0.07107785362289686;0.0989461011481259;0.1613784545285131
8;0.005102310423716257;0.0;0.02108437630606398;0.015076343423645677;0.13164940152476218;0.018706254362784898;0.0032048261839398777;0.002400109085789396;0.032261604869246716;0.06881846269594888;0.03821568610785821;0.03236378041385345;0.021461545103635814;0.025703339126360296;0.0032048261839398777;0.022916515004654258;0.026630863961669207;0.03706404023166689;0.012362871365608489;0.0;0.13083920303814273;0.0726320309431154;0.05429327596228854;0.08827652951986364;0.1357318041614455
9;0.005194630501831381;0.0;0.027634067261716147;0.015324706783613293;0.07046953718302842;0.02010431364850888;0.0010877738538571818;0.0;0.028563906121543966;0.09521675689375313;0.030716396960539672;0.032930949963952;0.01780218099751305;0.007579786106988063;0.0010877738538571818;0.0441390487756666;0.026828899533932284;0.05366326709997176;0.024774833272866014;0.0;0.09384100001558389;0.0857964311794846;0.0657361351894386;0.09521621009054242;0.15629139471181147
10;0.009133327735296844;0.0;0.012926872149593531;0.03211326752141687;0.10993253491337915;0.021972293218153735;0.0023616716436709825;0.0032418316775391035;0.03975764875469929;0.09783443457207386;0.03733190583402872;0.014398324787580756;0.009218172975828729;0.01703902356248546;0.0023616716436709825;0.02275120751396448;0.014370771951737929;0.05204665088720132;0.013754769264680415;0.0;0.11947434437371093;0.1044613289388747;0.0766987854010206;0.07331241067195682;0.1135067500074349
11;0.022740443770566488;0.0;0.01048169382527338;0.08349667073676159;0.0757951151223951;0.011483013546454743;0.0020157593057281618;0.004206189031187188;0.02528060597319964;0.02829043970242975;0.031807835906931606;0.002401228724158887;0.007799269223610546;0.0072856363637965795;0.0020157593057281618;0.022385913731415442;0.009715356731532643;0.03086203083148309;0.014596827088327326;0.0;0.19251304227014365;0.1345604517775995;0.12584935205009123;0.06662932401078922;0.08778804097039601
12;0.014375748615606978;0.0;0.026072026865038303;0.019072099761537616;0.06034060132392153;0.017867327905455335;0.003510832039401063;0.01175892731753226;0.04692974151553452;0.09404137493510932;0.02516443051414856;0.023539281082147367;0.02443771685058865;0.017146514278048676;0.003510832039401063;0.02588291517991578;0.019680424541759327;0.04197440983529816;0.03311131342024552;0.0;0.09603123975984679;0.11119371161725657;0.04139775893337283;0.09577039605622951;0.14719037561260423
13;0.012750845226482815;0.0;0.02642902465125529;0.01697574649834743;0.08724404079815898;0.026014603240745122;0.0033951745538687854;0.010021497637153978;0.032010834051499626;0.09562641462975766;0.03136230621348006;0.007412612578485316;0.012032110714409731;0.008060761603515385;0.0033951745538687854;0.020991921812998967;0.03387269989487939;0.07779379314916708;0.02668434460617655;0.0;0.10267839724224144;0.08757133522108473;0.04261153674959515;0.0924322635023155;0.14263256087051224
14;0.004379823605943462;0.0;0.010659747063691596;0.01994917949327514;0.06955586505378715;0.020576897726284446;0.0;0.012589251739432391;0.028143157634526447;0.053740306064346224;0.03775853506163924;0.029514967429173623;0.01072902283533772;0.013109816800471076;0.0;0.027802510225029137;0.03369867581106852;0.08263378509609023;0.023355653588248235;0.0;0.12891199410308685;0.06491638190088232;0.1167443776356877;0.08843376202077924;0.12279628911121926
15;0.0;0.003522318405033987;0.019740042861846056;0.004325507400006107;0.059274929501340945;0.029338569679364445;0.0;0.0036896494456531786;0.02722266867073476;0.04870211769981732;0.04218624697810599;0.029487494305515522;0.0;0.004592400409793718;0.0;0.05234031285048009;0.0607654307456564;0.06376860459716935;0.016261230527373056;0.0;0.1367182450655122;0.09570247871653746;0.0807045975458393;0.08363414573947979;0.13802300885474034
16;0.0;0.006412047392131687;0.034828250952087955;0.016694130825464278;0.05129586078237345;0.03877500348593522;0.0;0.01754630591945494;0.008448662930020563;0.03723186160344726;0.0704267769587198;0.015844029150193787;0.0;0.00666811460407292;0.0;0.02412059832644008;0.06698127340047408;0.08893463080965446;0.010360354990019081;0.0;0.09753828178900788;0.11045205193291868;0.1312961303268071;0.08169528934817417;0.08445034447260262
17;0.00639885516974187;0.010996825532377153;0.03401273617382934;0.04165174040006895;0.03868103397663057;0.029145386598415562;0.0;0.00353520971548469;0.006723491656936468;0.03766787929173989;0.062299437286290144;0.021973871472207637;0.0;0.0012294743557582633;0.0;0.02731593126874156;0.08907566824411534;0.04623212890266274;0.025634037978701462;0.0;0.09121312008630182;0.11600103105050673;0.10841477240439157;0.08763458364428632;0.11416278479081197
18;0.0;0.00598600399507891;0.018672965149490756;0.014762069118954018;0.05357338281683129;0.00883018268887331;0.0;0.00846639239082984;0.0017437882054976233;0.046583197337896856;0.05501351135206123;0.01009593240355348;0.0;0.0;0.0;0.06664337607017486;0.04476725237906829;0.0430601438565139;0.024185139797696518;0.0;0.10792665987591446;0.1859683977472662;0.14674759447423588;0.0698146653790695;0.08715934496099327
19;0.0;0.014131188214669091;0.020248640336544714;0.024961067001308426;0.029643034767961936;0.011986881787711052;0.0;0.012683955427318759;0.017741002767843583;0.03907397987711139;0.04935124722660854;0.022565257101383313;0.0;0.01376220042041982;0.0;0.04326425400284312;0.0823612956170951;0.0697735032823814;0.030451500949229802;0.0;0.09201589606379659;0.09322641970011908;0.14797106752781222;0.08633139542220165;0.09845621250564032
20;0.0;0.011976107024732192;0.0305029155835321;0.022634271561652285;0.05005291757019855;0.047449541682068344;0.026717974836360892;0.009070035410824562;0.0;0.05113583139583185;0.0572456133802588;0.03178184716635141;0.0004578563828783867;0.010372325375028446;0.0004578563828783867;0.02612791483100693;0.03812834346934574;0.047064730409361655;0.08683899693812558;0.0;0.11254694252032119;0.049924326068555645;0.07650327438753482;0.08048527639346592;0.13252510122968633
21;0.0;0.004634905455086872;0.061520764376438795;0.012738294984710182;0.034939313160697726;0.010223992990734485;0.010641074830399444;0.006778772920412768;0.0;0.04387376450242232;0.07473543458591506;0.035535945391866046;0.0006089203974971272;0.007985279969763953;0.0006089203974971272;0.0254891167409206;0.0757654931109915;0.05408487281389942;0.03711217115435274;0.0;0.11378388670644693;0.11033365592752513;0.0984060220127587;0.08438749098072452;0.09581190658893865
22;0.0;0.020162569629666068;0.044215773717220665;0.05272925476205244;0.046951409490524364;0.008024389009260663;0.0;0.009211470990639518;0.0;0.011036654097143944;0.0632361779810195;0.014442474292367238;0.0;0.0187295157061997;0.0;0.07850925317927647;0.048023704565595716;0.04429277362952632;0.0422936277581832;0.0;0.09942756268897952;0.1397213316136686;0.07989596456292924;0.08763374278749662;0.09146234953825005
23;0.0;0.029225246625714824;0.022379908322308857;0.02255488598614495;0.05627719113128362;0.02966567335912045;0.0;0.02017379789019356;0.0;0.02677589072910011;0.04307665082146711;0.02742774880630768;0.0;0.01799221084278257;0.0;0.04845257442515861;0.048186462561407885;0.03982895933360022;0.039921419121877244;0.0;0.1123419567274935;0.1263123324787707;0.09095988504497722;0.09182019189217135;0.10662701390011957
24;0.0;0.01636606035469902;0.0;0.023101726807759845;0.07579777815928423;0.01699214644408598;0.0;0.0034335581010723924;0.0;0.042304722048938974;0.06290210449915096;0.010323338053059239;0.0;0.0;0.0;0.08388817025915432;0.035800792438013235;0.0944330464669197;0.01375632956038558;0.0;0.12400980660455665;0.13914012599911726;0.07215401377842673;0.08310230473338082;0.10249397569199512
25;0.0;0.01786996696509791;0.0;0.013912960214487482;0.05467874754632068;0.016887298319528895;0.0;0.03167340929764925;0.0;0.02319624646909561;0.09572940106286207;0.039422846746780295;0.0;0.019846674965289416;0.0;0.032478335806961266;0.02627052712213338;0.07789474314166707;0.03349691195480442;0.0;0.11934875760042132;0.09832012735194141;0.10006642887920716;0.09152523100493129;0.10738138555082108
26;0.0;0.022978743128871826;0.0;0.008535740773056452;0.06187378210161999;0.026470203298141523;0.0;0.004433059215309891;0.0;0.03066922607102347;0.057466171509176045;0.02333093389174883;0.0;0.02753131998371288;0.0;0.03826155003926359;0.02883965186283919;0.08366461987028473;0.0213050417357415;0.0;0.11270149856033505;0.12461054518221214;0.10278925995404704;0.1125260848384376;0.11201256798417822
27;0.0;0.0;0.025459606118725733;0.022465734200308743;0.0;0.020360668007671796;0.0;0.0;0.0;0.05983533704448706;0.09066286195443701;0.0;0.0;0.0;0.0;0.058319689385788465;0.06503952846517284;0.0843266127145998;0.020985170978154093;0.0;0.07799504139963512;0.1534265799691257;0.15493988866538805;0.07885811853861627;0.08732516255788932
28;0.0;0.0;0.0;0.0334190346441207;0.07446911693826969;0.0;0.0;0.0069461335179666845;0.0;0.06032616237687586;0.06598006138859996;0.017757033053448668;0.0;0.0;0.0;0.04365096537080116;0.08323571939112773;0.10331758080569178;0.027693510625122167;0.0;0.0995304085460571;0.08523823521950825;0.05194902090107243;0.10613184671651567;0.140355170504822
