;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
30;COLBUN;0.0;81.0;636.6;1523.0;1095.0;286.0;0.0;0;0.0;1030.0;276.0;175.0;0.0;0.0;0.0;3218.8;516.0;891.8;1641.6000000000001;0.0;2001.8;2272.2;2002.8000000000002;1524;1401
31;PLACILLA;0.0;81.0;370.2;46.400000000000006;84.0;536.8;0.0;0;0.0;242.0;1970.0;158.0;0.0;298.8;0.0;32.0;631.4000000000001;960.6;311.6;0.0;1156.0;1066.6;623.2;743;604
32;LOS MUERMOS;0.0;267.0;0.0;111.6;292.8;73.2;0.0;3956;0.0;440.0;658.0;230.8;0.0;84.2;0.0;597.0;0.0;508.4;0.0;0.0;1086.0;2105.8;3904.2;2890;1677
33;LAGUNA BLANCA;0.0;0.0;0.0;84.0;21.0;0.0;0.0;57;0.0;7.0;22.0;0.0;0.0;0.0;0.0;95.2;141.0;151.0;9.600000000000001;0.0;16.0;23.200000000000003;106.2;52;36
34;SAN PEDRO DE LA PAZ;0.0;1791.8;2908.8;8014.6;6473.0;5495.6;0.0;0;0.0;4555.2;3241.0;2016.0;0.0;1181.6;0.0;3719.8;2956.8;5134.0;9017.2;0.0;15110.0;8383.6;4980.8;8598;13046
35;COBQUECURA;0.0;20.0;0.0;406.0;0.0;789.2;0.0;0;0.0;20.0;858.6;36.0;0.0;174.2;0.0;28.8;931.8000000000001;799.6;31.4;0.0;220.6;337.0;1639.0;297;207
36;TALAGANTE;0.0;0.0;0.0;2454.6000000000004;6531.6;0.0;0.0;0;2190.8;3484.8;1894.0;886.0;0.0;1017.0;0.0;138.0;2371.2000000000003;11694.0;1749.0;0.0;9215.8;1264.6;8776.8;5070;7997
37;EMPEDRADO;12.2;18.8;403.6;58.4;57.0;18.0;0.0;784;0.0;26.8;72.0;46.6;0.0;0.0;0.0;364.2;731.6;26.4;56.2;0.0;79.0;792.0;1207.2;368;235
38;CANELA;264.8;0.0;440.8;0.0;136.6;0.0;0.0;0;0.0;2319.0;709.6;94.0;0.0;0.0;0.0;1188.2;0.0;57.6;0.0;0.0;319.0;327.40000000000003;572.6;577;352
39;GRANEROS;0.0;0.0;848.8;0.0;960.0;2416.8;0.0;429;797.6;1161.0;1606.0;677.0;0.0;36.800000000000004;0.0;2513.8;2084.8;1485.0;0.0;0.0;4953.4;2281.4;1462.2;2362;3289
40;CABO DE HORNOS(EX-NAVARINO);0.0;0.0;0.0;0.0;92.80000000000001;0.0;0.0;0;0.0;0.0;263.6;0.0;0.0;0.0;0.0;71.0;323.20000000000005;189.0;0.0;0.0;101.0;266.2;126.0;17;37
41;LA HIGUERA;104.4;36.400000000000006;163.2;28.200000000000003;149.4;17.6;27.733333333333334;106;0.0;272.4;188.4;62.400000000000006;27.733333333333334;11.600000000000001;27.733333333333334;63.2;11.0;597.2;36.0;0.0;128.0;379.8;713.4;495;395
42;MEJILLONES;60.6;0.0;101.60000000000001;63.6;193.0;128.4;0.0;0;0.0;780.6;632.8000000000001;190.0;264.0;79.4;0.0;1181.8;90.0;404.6;152.2;0.0;553.4;973.8000000000001;93.0;920;1136
43;CUREPTO;29.0;60.6;1097.2;64.8;99.0;327.0;0.0;0;0.0;49.0;392.8;203.0;0.0;0.0;0.0;2172.6;1047.0;396.8;65.0;0.0;542.2;1454.4;1375.2;995;710
44;VILLA ALEMANA;0.0;1424.0;0.0;673.0;5643.0;1205.6000000000001;1009.0666666666667;3158;0.0;5078.0;3345.4;2216.0;1009.0666666666667;1205.6000000000001;1999.0666666666666;1768.6;2718.2;2210.8;2105.6;0.0;15383.0;9023.6;4121.8;8373;17297
45;TENO;361.0;136.0;772.8;1417.0;320.4;1441.6;0.0;0;0.0;402.0;3384.0;0.0;0.0;39.6;0.0;688.0;3543.6000000000004;347.8;245.4;0.0;4631.6;2570.6000000000004;2833.0;2385;2530
46;SANTO DOMINGO;0.0;0.0;0.0;555.0;415.0;0.0;23.733333333333334;0;0.0;101.0;2402.8;125.0;23.733333333333334;0.0;62.733333333333334;0.0;1447.0;151.4;248.60000000000002;0.0;1703.4;1645.4;993.4;839;816
47;COQUIMBO;1541.8;2836.8;3639.8;2023.4;7388.6;4907.8;469.86666666666673;2497;0.0;8849.2;5443.4;7598.200000000001;469.86666666666673;1822.8000000000002;469.86666666666673;1920.2;3356.8;10920.0;5376.200000000001;0.0;14691.6;9426.8;10675.0;22275;27220
48;LA UNION;0.0;0.0;0.0;985.0;2121.0;0.0;0.0;0;0.0;0.0;2554.0;0.0;0.0;0.0;0.0;5638.0;1994.4;2251.6;0.0;0.0;5704.4;4705.200000000001;2595.4;2434;3246
49;TUCAPEL;0.0;28.0;163.2;141.2;1182.2;0.0;116.86666666666667;784;0.0;377.0;1038.6;163.0;13.866666666666667;0.0;13.866666666666667;466.4;1011.0;239.2;165.0;0.0;671.0;3992.0;703.8;1261;1301
50;PUNTA ARENAS;0.0;0.0;0.0;3819.8;8083.0;0.0;0.0;0;0.0;6687.0;5169.0;980.0;0.0;0.0;0.0;4497.0;7807.0;10124.0;3690.6000000000004;0.0;10675.2;9137.2;5396.0;11960;16044
51;QUEILEN;0.0;0.0;0.0;0.0;68.0;398.8;0.0;0;0.0;178.6;721.0;0.0;0.0;20.8;0.0;94.0;458.40000000000003;442.6;62.0;0.0;499.8;881.0;1056.0;743;239
