;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
125;CAÑETE;0.0;50.400000000000006;483.6;0.0;1037.2;183.0;0.0;0;0.0;1552.0;1236.0;311.0;0.0;0.0;0.0;0.0;1617.2;2318.4;1015.8000000000001;0.0;2594.8;6041.0;7773.6;2131;2525
126;ANTOFAGASTA;2386.0;0.0;5360.6;9273.2;13245.0;8598.4;0.0;0;0.0;14360.0;6315.4;12904.4;0.0;3786.4;0.0;4126.6;10250.400000000001;7781.2;9313.8;0.0;26535.0;13854.0;9823.4;30419;44556
127;CORRAL;0.0;0.0;0.0;59.2;691.0;352.0;0.0;708;0.0;61.400000000000006;362.4;62.0;0.0;0.0;0.0;404.8;372.6;1627.0;0.0;0.0;213.0;368.4;216.8;455;452
128;MELIPEUCO;0.0;0.0;249.0;268.20000000000005;123.2;60.0;0.0;75;0.0;76.0;427.0;83.0;0.0;279.0;0.0;885.8;730.0;88.0;50.400000000000006;0.0;439.0;578.4;1112.4;930;553
129;QUILPUE;0.0;2242.8;544.8000000000001;0.0;12859.0;1533.6000000000001;1422.1333333333334;0;0.0;4401.0;4537.4;1894.0;1422.1333333333334;1533.6000000000001;1422.1333333333334;1792.0;5192.8;4229.0;3021.8;0.0;20235.4;13061.8;4400.4;10753;20675
130;CALAMA;1691.4;0.0;6398.0;3687.2;645.0;9853.6;918.6666666666666;0;0.0;3154.6;5511.2;6967.4;578.6666666666666;1367.6000000000001;487.6666666666667;1015.2;5013.4;4390.2;3364.6;0.0;9877.4;5699.6;3316.4;10392;17916
131;LOS SAUCES;0.0;0.0;298.0;390.8;96.4;0.0;0.0;0;0.0;0.0;525.4;499.40000000000003;0.0;0.0;0.0;285.4;498.40000000000003;45.0;144.0;0.0;484.0;1038.0;1722.4;598;479
132;PERALILLO;0.0;0.0;158.8;707.0;117.0;420.8;0.0;0;0.0;348.0;810.0;159.0;0.0;38.800000000000004;0.0;327.0;1002.2;1700.0;98.0;0.0;2129.4;1158.0;1182.8;1002;744
133;PICA;0.0;0.0;112.80000000000001;22.400000000000002;170.6;22.8;0.0;0;0.0;60.0;767.2;659.4;0.0;2.8000000000000003;0.0;204.8;77.60000000000001;130.0;48.0;0.0;355.4;1278.4;430.6;244;271
134;LA HIGUERA;103.4;37.2;176.4;28.200000000000003;149.2;18.4;27.733333333333334;106;0.0;293.6;197.2;58.6;27.733333333333334;12.4;27.733333333333334;60.800000000000004;10.0;648.6;35.0;0.0;125.0;379.0;1192.8;469;382
135;FLORIDA;0.0;624.2;562.4;792.0;258.8;110.8;176.73333333333335;140;0.0;207.6;284.0;1109.4;11.733333333333334;30.8;11.733333333333334;0.0;935.6;948.0;681.0;0.0;615.8;976.2;1352.8;1163;1179
136;LAS CABRAS;0.0;0.0;1312.4;0.0;706.0;557.2;0.0;494;0.0;707.0;1276.2;472.0;0.0;19.200000000000003;0.0;1138.0;2045.4;6955.0;0.0;0.0;2267.6;1496.2;2812.8;2228;1986
137;RETIRO;0.0;0.0;125.60000000000001;0.0;320.0;0.0;0.0;1576;0.0;780.0;2435.0;172.0;0.0;0.0;0.0;913.2;0.0;469.0;176.0;0.0;1071.8;6392.8;3068.4;1487;1599
138;YERBAS BUENAS;0.0;0.0;464.20000000000005;222.0;333.0;101.0;0.0;0;0.0;583.4;1689.0;155.0;0.0;0.0;0.0;1945.6;624.8000000000001;999.4;409.6;0.0;1726.0;2091.6;4508.2;1205;1573
139;PANGUIPULLI;0.0;0.0;0.0;524.2;1715.4;152.0;0.0;0;0.0;955.2;645.0;1080.0;0.0;0.0;0.0;1025.6;3076.2;4133.0;0.0;0.0;3444.8;6688.6;3234.4;3547;3785
140;LOS ANGELES;0.0;847.8;13647.2;1679.0;3979.4;616.0;4576.533333333334;0;0.0;4369.0;12838.6;9042.0;164.53333333333333;2804.0;164.53333333333333;3792.6;12775.2;4068.8;7515.4;0.0;25144.2;15018.0;18975.2;15811;22541
141;PUNITAQUI;0.0;212.0;1095.8;238.4;377.20000000000005;257.4;0.0;0;0.0;576.0;694.2;437.6;0.0;98.4;0.0;427.8;224.20000000000002;438.6;257.0;0.0;467.0;637.2;753.8000000000001;1010;983
142;TORRES DEL PAINE;0.0;0.0;0.0;154.0;76.0;0.0;0.0;310;0.0;0.0;184.0;56.0;0.0;0.0;0.0;0.0;20.0;101.2;0.0;0.0;77.8;93.60000000000001;269.6;65;33
143;TEMUCO;0.0;8788.2;5033.0;3803.6;16769.4;7447.2;0.0;5946;0.0;3821.8;8023.4;9552.0;0.0;3821.2;0.0;12257.8;7816.400000000001;14563.0;12137.8;0.0;31676.6;28765.6;9429.4;19767;28826
144;PAREDONES;0.0;0.0;578.0;128.0;319.0;438.2;0.0;0;0.0;168.0;663.8;38.400000000000006;0.0;75.2;0.0;272.0;831.2;197.0;303.2;0.0;472.20000000000005;1119.4;1853.0;686;299
145;VILLA ALEGRE;0.0;0.0;71.2;0.0;875.0;829.0;0.0;0;0.0;619.0;866.0;537.8;0.0;0.0;0.0;1313.2;727.6;1022.4;101.60000000000001;0.0;892.6;2572.0;3246.0;1001;1336
146;SANTIAGO;1882.0;0.0;5541.0;6707.0;33305.4;2948.0;426.9333333333334;0;9570.2;39044.0;7227.4;8673.2;5003.933333333333;4419.0;426.9333333333334;3040.0;3007.8;8638.2;5430.200000000001;0.0;33283.8;39756.4;16926.8;22358;38218
147;CHANCO;0.0;0.0;0.0;0.0;0.0;67.0;0.0;626;0.0;130.0;1166.0;0.0;0.0;0.0;0.0;621.8;2095.4;154.0;111.0;0.0;795.4;1982.6;714.8;705;401
148;GORBEA;0.0;127.0;1175.2;63.6;159.2;109.2;0.0;0;0.0;126.0;1217.4;217.0;0.0;162.2;0.0;94.4;1397.8000000000002;746.0;64.8;0.0;3067.2;1787.8000000000002;2381.2;1169;1010
149;PUDAHUEL;1985.0;0.0;7635.2;932.0;11310.0;4670.2;0.0;2735;5255.200000000001;18158.0;4109.0;3341.0;8839.0;896.2;0.0;6559.0;5302.400000000001;14988.0;4297.0;0.0;23912.6;11386.6;8397.8;16988;23291
150;SAN RAMON;358.0;0.0;3291.0;882.6;7034.6;1643.8;238.4;0;2731.6;5949.0;4553.0;0.0;2914.4;302.8;238.4;2219.8;2912.0;4660.2;2891.8;0.0;8147.200000000001;5640.4;2299.8;7494;10345
151;CONCON;0.0;187.0;391.0;2867.8;3035.4;308.0;252.80000000000004;0;0.0;1300.0;2119.6;534.0;252.80000000000004;0.0;252.80000000000004;1016.0;2339.8;841.0;1179.8000000000002;0.0;7983.6;4277.0;3238.8;3151;3812
152;MACUL;1945.0;0.0;0.0;724.2;10559.0;4173.6;597.3333333333334;0;7171.0;10483.0;4976.0;0.0;597.3333333333334;1900.6;597.3333333333334;3484.8;2005.6;5070.0;0.0;0.0;15941.0;7540.2;6849.0;7058;12144
